#,Protein ID,AgeBeta,Pvalue,BH Adjusted Pvalue,Acc No.,ProteinDescription,Genenames,AA Length,GenePrimary,GOCC,GOMF,GOBP,Tissue,Ome,Species
1008,ATP23_HUMAN,0.006868714,0.002954255,0.02673828,Q9Y6H3,Mitochondrial inner membrane protease ATP23 homolog (EC 3.4.24.-) (Ku70-binding protein 3) (XRCC6-binding protein 1),ATP23 KUB3 XRCC6BP1,246,ATP23,DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],DNA-dependent protein kinase activity [GO:0004677]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],double-strand break repair via nonhomologous end joining [GO:0006303],SKM,PROT,HUMAN
1009,FAS_HUMAN,0.006954848,0.01454393,0.078644953,P49327,Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],FASN FAS,2511,FASN,"cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glycogen granule [GO:0042587]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxo-glutaryl-[acp] methyl ester reductase activity [GO:0102131]; 3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; cadherin binding [GO:0045296]; drug binding [GO:0008144]; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; fatty acid synthase activity [GO:0004312]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; NADPH binding [GO:0070402]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; phosphopantetheine binding [GO:0031177]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; acetyl-CoA metabolic process [GO:0006084]; cellular response to interleukin-4 [GO:0071353]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; mammary gland development [GO:0030879]; osteoblast differentiation [GO:0001649]; pantothenate metabolic process [GO:0015939]; positive regulation of cellular metabolic process [GO:0031325]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glycogen granule [GO:0042587]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxo-glutaryl-[acp] methyl ester reductase activity [GO:0102131]; 3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; cadherin binding [GO:0045296]; drug binding [GO:0008144]; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; fatty acid synthase activity [GO:0004312]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; NADPH binding [GO:0070402]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; phosphopantetheine binding [GO:0031177]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; acetyl-CoA metabolic process [GO:0006084]; cellular response to interleukin-4 [GO:0071353]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; mammary gland development [GO:0030879]; osteoblast differentiation [GO:0001649]; pantothenate metabolic process [GO:0015939]; positive regulation of cellular metabolic process [GO:0031325]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glycogen granule [GO:0042587]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxo-glutaryl-[acp] methyl ester reductase activity [GO:0102131]; 3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; cadherin binding [GO:0045296]; drug binding [GO:0008144]; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; fatty acid synthase activity [GO:0004312]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; NADPH binding [GO:0070402]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; phosphopantetheine binding [GO:0031177]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; acetyl-CoA metabolic process [GO:0006084]; cellular response to interleukin-4 [GO:0071353]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; mammary gland development [GO:0030879]; osteoblast differentiation [GO:0001649]; pantothenate metabolic process [GO:0015939]; positive regulation of cellular metabolic process [GO:0031325]",SKM,PROT,HUMAN
1010,CILP1_HUMAN,0.00707038,0.000523346,0.007823391,O75339,Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2],CILP UNQ602/PRO1188,1184,CILP,extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569],extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569],extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569],SKM,PROT,HUMAN
1011,NNMT_HUMAN,0.007153812,0.016298527,0.0852858,P40261,Nicotinamide N-methyltransferase (EC 2.1.1.1),NNMT,264,NNMT,cytosol [GO:0005829]; nicotinamide N-methyltransferase activity [GO:0008112]; pyridine N-methyltransferase activity [GO:0030760]; animal organ regeneration [GO:0031100]; methylation [GO:0032259]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; response to drug [GO:0042493]; response to organonitrogen compound [GO:0010243],cytosol [GO:0005829]; nicotinamide N-methyltransferase activity [GO:0008112]; pyridine N-methyltransferase activity [GO:0030760]; animal organ regeneration [GO:0031100]; methylation [GO:0032259]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; response to drug [GO:0042493]; response to organonitrogen compound [GO:0010243],cytosol [GO:0005829]; nicotinamide N-methyltransferase activity [GO:0008112]; pyridine N-methyltransferase activity [GO:0030760]; animal organ regeneration [GO:0031100]; methylation [GO:0032259]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; response to drug [GO:0042493]; response to organonitrogen compound [GO:0010243],SKM,PROT,HUMAN
1012,F118B_HUMAN,0.007453157,0.000827944,0.010989072,Q9BPY3,Protein FAM118B,FAM118B,351,FAM118B,Cajal body [GO:0015030]; Cajal body organization [GO:0030576],Cajal body [GO:0015030]; Cajal body organization [GO:0030576],Cajal body [GO:0015030]; Cajal body organization [GO:0030576],SKM,PROT,HUMAN
1013,TENA_HUMAN,0.007609923,0.014491877,0.078460346,P24821,Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C),TNC HXB,2201,TNC,basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; interstitial matrix [GO:0005614]; membrane [GO:0016020]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; extracellular matrix organization [GO:0030198]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; odontogenesis of dentin-containing tooth [GO:0042475]; osteoblast differentiation [GO:0001649]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; response to wounding [GO:0009611]; wound healing [GO:0042060],basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; interstitial matrix [GO:0005614]; membrane [GO:0016020]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; extracellular matrix organization [GO:0030198]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; odontogenesis of dentin-containing tooth [GO:0042475]; osteoblast differentiation [GO:0001649]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; response to wounding [GO:0009611]; wound healing [GO:0042060],basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; interstitial matrix [GO:0005614]; membrane [GO:0016020]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; extracellular matrix organization [GO:0030198]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; odontogenesis of dentin-containing tooth [GO:0042475]; osteoblast differentiation [GO:0001649]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; response to wounding [GO:0009611]; wound healing [GO:0042060],SKM,PROT,HUMAN
1014,TTC38_HUMAN,0.00807022,0.001714987,0.018232147,Q5R3I4,Tetratricopeptide repeat protein 38 (TPR repeat protein 38),TTC38,469,TTC38,extracellular exosome [GO:0070062],extracellular exosome [GO:0070062],extracellular exosome [GO:0070062],SKM,PROT,HUMAN
1015,TENX_HUMAN,0.00818288,6.39E-05,0.001759318,P22105,Tenascin-X (TN-X) (Hexabrachion-like protein),TNXB HXBL TNX TNXB1 TNXB2 XB,4242,TNXB,extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular [GO:0005622]; proteinaceous extracellular matrix [GO:0005578]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular [GO:0005622]; proteinaceous extracellular matrix [GO:0005578]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251],extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular [GO:0005622]; proteinaceous extracellular matrix [GO:0005578]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251],SKM,PROT,HUMAN
1016,PRG4_HUMAN,0.008267473,0.010648262,0.062941144,Q92954,Proteoglycan 4 (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Cleaved into: Proteoglycan 4 C-terminal part],PRG4 MSF SZP,1404,PRG4,extracellular region [GO:0005576]; polysaccharide binding [GO:0030247]; scavenger receptor activity [GO:0005044]; cell proliferation [GO:0008283]; immune response [GO:0006955],extracellular region [GO:0005576]; polysaccharide binding [GO:0030247]; scavenger receptor activity [GO:0005044]; cell proliferation [GO:0008283]; immune response [GO:0006955],extracellular region [GO:0005576]; polysaccharide binding [GO:0030247]; scavenger receptor activity [GO:0005044]; cell proliferation [GO:0008283]; immune response [GO:0006955],SKM,PROT,HUMAN
1017,CBPA3_HUMAN,0.008585447,0.000114276,0.002607424,P15088,Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3),CPA3,417,CPA3,extracellular region [GO:0005576]; extracellular space [GO:0005615]; secretory granule [GO:0030141]; transport vesicle [GO:0030133]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; angiotensin maturation [GO:0002003]; proteolysis [GO:0006508],extracellular region [GO:0005576]; extracellular space [GO:0005615]; secretory granule [GO:0030141]; transport vesicle [GO:0030133]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; angiotensin maturation [GO:0002003]; proteolysis [GO:0006508],extracellular region [GO:0005576]; extracellular space [GO:0005615]; secretory granule [GO:0030141]; transport vesicle [GO:0030133]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; angiotensin maturation [GO:0002003]; proteolysis [GO:0006508],SKM,PROT,HUMAN
