Uniprot ID,Entry name,Gene name,Protein name,SWATH_T2D,SWATH_IGT,SWATH_IFG,SWATH_NGT,ANOVA_p-value,ANOVA_q-value,Tissue,Ome,Species
Q15276,RABE1_HUMAN,RABEP1,Rab GTPase-binding effector protein 1,1.89E+04,1.90E+04,2.23E+04,2.78E+04,4.95E-01,6.40E-01,SKM-VL,PROT,HUMAN
Q3YEC7,RABL6_HUMAN,RABL6,Rab-like protein 6,8.04E+04,6.43E+04,8.32E+04,8.27E+04,9.25E-01,9.52E-01,SKM-VL,PROT,HUMAN
P63000,RAC1_HUMAN,RAC1,Ras-related C3 botulinum toxin substrate 1,3.50E+05,2.79E+05,3.53E+05,3.24E+05,3.63E-01,5.32E-01,SKM-VL,PROT,HUMAN
P63244,RACK1_HUMAN,RACK1,Receptor of activated protein C kinase 1,4.73E+05,5.81E+05,5.81E+05,6.23E+05,1.59E-02,6.42E-02,SKM-VL,PROT,HUMAN
P35241,RADI_HUMAN,RDX,Radixin,2.49E+05,3.12E+05,3.11E+05,3.01E+05,8.23E-02,1.95E-01,SKM-VL,PROT,HUMAN
P11233,RALA_HUMAN,RALA,Ras-related protein Ral-A,2.02E+05,2.25E+05,2.41E+05,2.58E+05,7.28E-02,1.80E-01,SKM-VL,PROT,HUMAN
Q9UKM9,RALY_HUMAN,RALY,RNA-binding protein Raly,3.54E+04,3.12E+04,4.01E+04,4.07E+04,8.77E-01,9.21E-01,SKM-VL,PROT,HUMAN
P62826,RAN_HUMAN,RAN,GTP-binding nuclear protein Ran,4.58E+05,5.94E+05,5.35E+05,6.47E+05,1.12E-05,2.94E-04,SKM-VL,PROT,HUMAN
P62834,RAP1A_HUMAN,RAP1A,Ras-related protein Rap-1A,1.95E+05,2.38E+05,2.14E+05,2.47E+05,1.12E-03,9.30E-03,SKM-VL,PROT,HUMAN
P61225,RAP2B_HUMAN,RAP2B,Ras-related protein Rap-2b,9.99E+04,1.09E+05,1.17E+05,1.31E+05,3.64E-01,5.32E-01,SKM-VL,PROT,HUMAN
C9J798,RAS4B_HUMAN,RASA4B,Ras GTPase-activating protein 4B,3.46E+05,3.55E+05,4.47E+05,4.38E+05,2.89E-01,4.61E-01,SKM-VL,PROT,HUMAN
P01112,RASH_HUMAN,HRAS,GTPase HRas,4.79E+05,2.20E+05,6.92E+05,4.75E+05,2.12E-01,3.76E-01,SKM-VL,PROT,HUMAN
Q15907,RB11B_HUMAN,RAB11B,Ras-related protein Rab-11B,2.18E+05,3.67E+05,3.35E+05,3.55E+05,1.68E-01,3.16E-01,SKM-VL,PROT,HUMAN
Q16576,RBBP7_HUMAN,RBBP7,Histone-binding protein RBBP7,2.93E+04,3.95E+04,3.94E+04,3.57E+04,2.96E-01,4.68E-01,SKM-VL,PROT,HUMAN
Q9H2M9,RBGPR_HUMAN,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit,2.55E+04,3.00E+04,2.11E+04,2.81E+04,4.78E-01,6.27E-01,SKM-VL,PROT,HUMAN
P98179,RBM3_HUMAN,RBM3,RNA-binding protein 3,3.13E+04,4.27E+04,2.26E+04,3.35E+04,1.45E-01,2.88E-01,SKM-VL,PROT,HUMAN
Q14498,RBM39_HUMAN,RBM39,RNA-binding protein 39,1.44E+04,1.49E+04,1.68E+04,2.65E+04,1.56E-02,6.32E-02,SKM-VL,PROT,HUMAN
P38159,RBMX_HUMAN,RBMX,"RNA-binding motif protein, X chromosome",4.33E+04,4.14E+04,4.58E+04,4.19E+04,9.58E-01,9.73E-01,SKM-VL,PROT,HUMAN
Q9H477,RBSK_HUMAN,RBKS,Ribokinase,2.79E+04,4.02E+04,3.81E+04,3.00E+04,1.46E-01,2.89E-01,SKM-VL,PROT,HUMAN
P54725,RD23A_HUMAN,RAD23A,UV excision repair protein RAD23 homolog A,1.01E+05,1.38E+05,1.14E+05,1.47E+05,1.38E-04,2.03E-03,SKM-VL,PROT,HUMAN
P54727,RD23B_HUMAN,RAD23B,UV excision repair protein RAD23 homolog B,3.37E+05,4.88E+05,4.37E+05,4.17E+05,1.39E-01,2.79E-01,SKM-VL,PROT,HUMAN
Q8NBN7,RDH13_HUMAN,RDH13,Retinol dehydrogenase 13,5.44E+04,5.42E+04,5.99E+04,5.73E+04,9.36E-01,9.58E-01,SKM-VL,PROT,HUMAN
Q9HBH5,RDH14_HUMAN,RDH14,Retinol dehydrogenase 14,7.93E+04,7.72E+04,8.42E+04,1.04E+05,3.10E-02,9.87E-02,SKM-VL,PROT,HUMAN
Q00765,REEP5_HUMAN,REEP5,Receptor expression-enhancing protein 5,2.05E+05,1.82E+05,2.04E+05,2.03E+05,7.65E-01,8.47E-01,SKM-VL,PROT,HUMAN
Q92900,RENT1_HUMAN,UPF1,Regulator of nonsense transcripts 1,9.19E+03,1.42E+04,8.98E+03,1.11E+04,3.54E-01,5.24E-01,SKM-VL,PROT,HUMAN
P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,1.05E+05,1.14E+05,1.17E+05,1.31E+05,4.44E-01,5.98E-01,SKM-VL,PROT,HUMAN
P35244,RFA3_HUMAN,RPA3,Replication protein A 14 kDa subunit,2.22E+04,5.04E+04,3.60E+04,4.13E+04,1.50E-01,2.93E-01,SKM-VL,PROT,HUMAN
Q02094,RHAG_HUMAN,RHAG,Ammonium transporter Rh type A,1.19E+04,1.60E+04,1.48E+04,1.60E+04,8.23E-01,8.86E-01,SKM-VL,PROT,HUMAN
Q02161,RHD_HUMAN,RHD,Blood group Rh(D) polypeptide,8.35E+04,6.07E+04,7.15E+04,6.62E+04,3.97E-01,5.62E-01,SKM-VL,PROT,HUMAN
Q07960,RHG01_HUMAN,ARHGAP1,Rho GTPase-activating protein 1,6.65E+04,4.12E+04,5.61E+04,5.92E+04,7.32E-01,8.21E-01,SKM-VL,PROT,HUMAN
P61586,RHOA_HUMAN,RHOA,Transforming protein RhoA,3.20E+05,3.54E+05,3.65E+05,4.05E+05,1.86E-03,1.35E-02,SKM-VL,PROT,HUMAN
P52758,RIDA_HUMAN,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,1.93E+04,2.78E+04,2.71E+04,2.82E+04,2.97E-01,4.69E-01,SKM-VL,PROT,HUMAN
Q96NA2,RILP_HUMAN,RILP,Rab-interacting lysosomal protein,7.45E+04,8.39E+04,9.79E+04,8.58E+04,7.48E-01,8.35E-01,SKM-VL,PROT,HUMAN
P13489,RINI_HUMAN,RNH1,Ribonuclease inhibitor,1.67E+06,1.93E+06,1.86E+06,2.03E+06,5.24E-02,1.43E-01,SKM-VL,PROT,HUMAN
P27635,RL10_HUMAN,RPL10,60S ribosomal protein L10,1.52E+05,1.51E+05,1.72E+05,1.63E+05,4.41E-01,5.96E-01,SKM-VL,PROT,HUMAN
P62906,RL10A_HUMAN,RPL10A,60S ribosomal protein L10a,1.87E+05,2.17E+05,1.90E+05,2.15E+05,1.32E-01,2.72E-01,SKM-VL,PROT,HUMAN
P62913,RL11_HUMAN,RPL11,60S ribosomal protein L11,4.08E+04,5.67E+04,4.51E+04,5.77E+04,3.73E-02,1.13E-01,SKM-VL,PROT,HUMAN
P30050,RL12_HUMAN,RPL12,60S ribosomal protein L12,6.15E+04,8.87E+04,7.58E+04,6.48E+04,1.14E-01,2.44E-01,SKM-VL,PROT,HUMAN
P26373,RL13_HUMAN,RPL13,60S ribosomal protein L13,1.92E+05,2.48E+05,2.25E+05,2.43E+05,1.10E-02,4.90E-02,SKM-VL,PROT,HUMAN
P40429,RL13A_HUMAN,RPL13A,60S ribosomal protein L13a,8.57E+04,9.80E+04,8.71E+04,1.19E+05,1.04E-01,2.29E-01,SKM-VL,PROT,HUMAN
P50914,RL14_HUMAN,RPL14,60S ribosomal protein L14,3.09E+05,3.41E+05,3.21E+05,3.49E+05,5.99E-02,1.57E-01,SKM-VL,PROT,HUMAN
P61313,RL15_HUMAN,RPL15,60S ribosomal protein L15,2.10E+05,2.24E+05,2.12E+05,2.40E+05,2.25E-02,8.08E-02,SKM-VL,PROT,HUMAN
P18621,RL17_HUMAN,RPL17,60S ribosomal protein L17,1.06E+05,1.42E+05,1.27E+05,1.43E+05,9.03E-05,1.45E-03,SKM-VL,PROT,HUMAN
Q07020,RL18_HUMAN,RPL18,60S ribosomal protein L18,5.24E+04,5.19E+04,5.70E+04,6.39E+04,6.17E-01,7.41E-01,SKM-VL,PROT,HUMAN
Q02543,RL18A_HUMAN,RPL18A,60S ribosomal protein L18a,1.25E+05,1.55E+05,1.42E+05,1.27E+05,6.63E-01,7.69E-01,SKM-VL,PROT,HUMAN
P84098,RL19_HUMAN,RPL19,60S ribosomal protein L19,1.68E+05,1.50E+05,1.61E+05,1.84E+05,7.29E-01,8.20E-01,SKM-VL,PROT,HUMAN
P35268,RL22_HUMAN,RPL22,60S ribosomal protein L22,7.62E+04,1.08E+05,8.16E+04,1.04E+05,2.05E-02,7.63E-02,SKM-VL,PROT,HUMAN
P62829,RL23_HUMAN,RPL23,60S ribosomal protein L23,1.58E+05,1.97E+05,1.44E+05,1.61E+05,8.56E-02,1.98E-01,SKM-VL,PROT,HUMAN
P62750,RL23A_HUMAN,RPL23A,60S ribosomal protein L23a,1.43E+05,1.61E+05,1.55E+05,1.64E+05,4.07E-01,5.70E-01,SKM-VL,PROT,HUMAN
P83731,RL24_HUMAN,RPL24,60S ribosomal protein L24,1.76E+05,1.79E+05,1.99E+05,2.34E+05,9.10E-03,4.39E-02,SKM-VL,PROT,HUMAN
P61254,RL26_HUMAN,RPL26,60S ribosomal protein L26,1.37E+04,1.54E+04,2.35E+04,2.29E+04,2.08E-02,7.67E-02,SKM-VL,PROT,HUMAN
P46776,RL27A_HUMAN,RPL27A,60S ribosomal protein L27a,2.04E+05,2.40E+05,2.25E+05,2.70E+05,1.62E-05,3.77E-04,SKM-VL,PROT,HUMAN
P46779,RL28_HUMAN,RPL28,60S ribosomal protein L28,9.73E+04,1.17E+05,1.27E+05,1.22E+05,1.73E-01,3.23E-01,SKM-VL,PROT,HUMAN
P47914,RL29_HUMAN,RPL29,60S ribosomal protein L29,7.25E+04,6.32E+04,6.12E+04,5.98E+04,7.09E-01,8.06E-01,SKM-VL,PROT,HUMAN
P62888,RL30_HUMAN,RPL30,60S ribosomal protein L30,1.55E+05,1.82E+05,1.62E+05,1.90E+05,4.01E-02,1.20E-01,SKM-VL,PROT,HUMAN
P62899,RL31_HUMAN,RPL31,60S ribosomal protein L31,7.18E+04,8.02E+04,8.51E+04,1.12E+05,1.49E-04,2.14E-03,SKM-VL,PROT,HUMAN
P62910,RL32_HUMAN,RPL32,60S ribosomal protein L32,1.83E+05,1.78E+05,1.88E+05,2.09E+05,6.41E-01,7.55E-01,SKM-VL,PROT,HUMAN
P49207,RL34_HUMAN,RPL34,60S ribosomal protein L34,7.45E+04,5.04E+04,7.54E+04,1.03E+05,1.71E-02,6.83E-02,SKM-VL,PROT,HUMAN
P42766,RL35_HUMAN,RPL35,60S ribosomal protein L35,7.16E+04,9.66E+04,8.24E+04,1.38E+05,1.90E-05,4.09E-04,SKM-VL,PROT,HUMAN
P61513,RL37A_HUMAN,RPL37A,60S ribosomal protein L37a,4.20E+04,4.98E+04,6.74E+04,5.01E+04,6.84E-02,1.73E-01,SKM-VL,PROT,HUMAN
P63173,RL38_HUMAN,RPL38,60S ribosomal protein L38,3.32E+04,5.05E+04,4.28E+04,4.85E+04,1.04E-02,4.78E-02,SKM-VL,PROT,HUMAN
Q92901,RL3L_HUMAN,RPL3L,60S ribosomal protein L3-like,1.10E+05,1.19E+05,1.23E+05,1.16E+05,8.29E-01,8.89E-01,SKM-VL,PROT,HUMAN
P36578,RL4_HUMAN,RPL4,60S ribosomal protein L4,6.65E+05,8.84E+05,7.75E+05,8.17E+05,2.44E-02,8.53E-02,SKM-VL,PROT,HUMAN
P46777,RL5_HUMAN,RPL5,60S ribosomal protein L5,1.35E+05,1.56E+05,1.39E+05,1.48E+05,2.92E-01,4.64E-01,SKM-VL,PROT,HUMAN
Q02878,RL6_HUMAN,RPL6,60S ribosomal protein L6,4.56E+05,5.18E+05,5.02E+05,5.64E+05,4.16E-04,4.56E-03,SKM-VL,PROT,HUMAN
P18124,RL7_HUMAN,RPL7,60S ribosomal protein L7,3.85E+05,4.95E+05,4.57E+05,5.16E+05,8.18E-03,4.08E-02,SKM-VL,PROT,HUMAN
P62424,RL7A_HUMAN,RPL7A,60S ribosomal protein L7a,1.00E+05,1.13E+05,1.34E+05,1.35E+05,1.36E-01,2.76E-01,SKM-VL,PROT,HUMAN
P62917,RL8_HUMAN,RPL8,60S ribosomal protein L8,4.35E+04,5.53E+04,4.71E+04,5.56E+04,2.25E-01,3.93E-01,SKM-VL,PROT,HUMAN
P32969,RL9_HUMAN,RPL9,60S ribosomal protein L9,3.04E+05,3.37E+05,2.22E+05,2.99E+05,6.35E-01,7.52E-01,SKM-VL,PROT,HUMAN
P05388,RLA0_HUMAN,RPLP0,60S acidic ribosomal protein P0,4.65E+05,4.81E+05,4.94E+05,5.33E+05,5.12E-02,1.41E-01,SKM-VL,PROT,HUMAN
P05387,RLA2_HUMAN,RPLP2,60S acidic ribosomal protein P2,3.49E+05,3.51E+05,3.63E+05,3.90E+05,2.56E-01,4.28E-01,SKM-VL,PROT,HUMAN
Q5T653,RM02_HUMAN,MRPL2,"39S ribosomal protein L2, mitochondrial",3.54E+04,3.15E+04,2.94E+04,4.07E+04,3.15E-01,4.89E-01,SKM-VL,PROT,HUMAN
Q9BYD3,RM04_HUMAN,MRPL4,"39S ribosomal protein L4, mitochondrial",1.80E+04,2.31E+04,2.21E+04,3.23E+04,5.08E-03,2.96E-02,SKM-VL,PROT,HUMAN
P52815,RM12_HUMAN,MRPL12,"39S ribosomal protein L12, mitochondrial",3.04E+05,3.45E+05,3.55E+05,3.08E+05,7.62E-01,8.45E-01,SKM-VL,PROT,HUMAN
Q9P015,RM15_HUMAN,MRPL15,"39S ribosomal protein L15, mitochondrial",1.70E+04,2.51E+04,2.52E+04,2.61E+04,1.49E-01,2.92E-01,SKM-VL,PROT,HUMAN
P49406,RM19_HUMAN,MRPL19,"39S ribosomal protein L19, mitochondrial",4.05E+04,3.46E+04,4.64E+04,4.91E+04,2.26E-01,3.93E-01,SKM-VL,PROT,HUMAN
Q96DV4,RM38_HUMAN,MRPL38,"39S ribosomal protein L38, mitochondrial",2.73E+04,2.89E+04,2.78E+04,3.48E+04,9.81E-03,4.60E-02,SKM-VL,PROT,HUMAN
Q9H9J2,RM44_HUMAN,MRPL44,"39S ribosomal protein L44, mitochondrial",1.14E+04,2.14E+04,2.08E+04,2.24E+04,3.17E-03,2.06E-02,SKM-VL,PROT,HUMAN
Q9BRJ2,RM45_HUMAN,MRPL45,"39S ribosomal protein L45, mitochondrial",1.20E+04,2.13E+04,1.67E+04,1.58E+04,2.41E-01,4.12E-01,SKM-VL,PROT,HUMAN
Q9HD33,RM47_HUMAN,MRPL47,"39S ribosomal protein L47, mitochondrial",6.73E+04,9.50E+04,8.81E+04,1.27E+05,3.72E-02,1.13E-01,SKM-VL,PROT,HUMAN
Q96GC5,RM48_HUMAN,MRPL48,"39S ribosomal protein L48, mitochondrial",1.77E+04,1.75E+04,1.32E+04,2.02E+04,5.23E-01,6.63E-01,SKM-VL,PROT,HUMAN
Q13405,RM49_HUMAN,MRPL49,"39S ribosomal protein L49, mitochondrial",3.26E+04,2.95E+04,3.67E+04,4.81E+04,5.52E-02,1.47E-01,SKM-VL,PROT,HUMAN
Q96DB5,RMD1_HUMAN,RMDN1,Regulator of microtubule dynamics protein 1,1.27E+05,1.30E+05,1.43E+05,1.52E+05,4.62E-01,6.13E-01,SKM-VL,PROT,HUMAN
Q5XPI4,RN123_HUMAN,RNF123,E3 ubiquitin-protein ligase RNF123,1.91E+05,2.69E+05,2.79E+05,2.78E+05,6.94E-03,3.69E-02,SKM-VL,PROT,HUMAN
Q96K19,RN170_HUMAN,RNF170,E3 ubiquitin-protein ligase RNF170,5.81E+04,7.29E+04,8.81E+04,7.01E+04,1.90E-01,3.46E-01,SKM-VL,PROT,HUMAN
P10155,RO60_HUMAN,RO60,60 kDa SS-A/Ro ribonucleoprotein,4.37E+03,3.99E+03,5.52E+03,6.36E+03,1.73E-01,3.22E-01,SKM-VL,PROT,HUMAN
Q13151,ROA0_HUMAN,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,2.75E+04,3.76E+04,3.33E+04,2.72E+04,4.42E-01,5.97E-01,SKM-VL,PROT,HUMAN
P09651,ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,6.09E+04,7.23E+04,6.65E+04,6.97E+04,6.99E-01,7.98E-01,SKM-VL,PROT,HUMAN
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,6.40E+05,6.92E+05,6.38E+05,7.04E+05,7.15E-02,1.78E-01,SKM-VL,PROT,HUMAN
P51991,ROA3_HUMAN,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,1.67E+05,1.86E+05,1.58E+05,1.75E+05,6.39E-01,7.54E-01,SKM-VL,PROT,HUMAN
Q99729,ROAA_HUMAN,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,5.55E+04,5.55E+04,5.67E+04,5.31E+04,7.18E-01,8.12E-01,SKM-VL,PROT,HUMAN
O75116,ROCK2_HUMAN,ROCK2,Rho-associated protein kinase 2,1.90E+04,3.31E+04,2.50E+04,2.92E+04,3.17E-02,1.01E-01,SKM-VL,PROT,HUMAN
P49247,RPIA_HUMAN,RPIA,Ribose-5-phosphate isomerase,7.38E+03,1.66E+04,1.24E+04,1.59E+04,4.59E-02,1.30E-01,SKM-VL,PROT,HUMAN
P04843,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,6.72E+05,7.99E+05,6.84E+05,7.05E+05,3.42E-01,5.17E-01,SKM-VL,PROT,HUMAN
P04844,RPN2_HUMAN,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,4.39E+05,4.85E+05,4.70E+05,5.28E+05,2.46E-01,4.19E-01,SKM-VL,PROT,HUMAN
Q7L523,RRAGA_HUMAN,RRAGA,Ras-related GTP-binding protein A,6.33E+04,4.88E+04,4.47E+04,5.73E+04,7.75E-01,8.55E-01,SKM-VL,PROT,HUMAN
P62070,RRAS2_HUMAN,RRAS2,Ras-related protein R-Ras2,1.10E+04,1.11E+04,1.47E+04,1.29E+04,5.64E-01,6.96E-01,SKM-VL,PROT,HUMAN
Q96E11,RRFM_HUMAN,MRRF,"Ribosome-recycling factor, mitochondrial",6.38E+04,7.48E+04,4.50E+04,6.98E+04,2.63E-01,4.36E-01,SKM-VL,PROT,HUMAN
P46783,RS10_HUMAN,RPS10,40S ribosomal protein S10,6.82E+04,7.01E+04,6.48E+04,7.59E+04,1.36E-01,2.76E-01,SKM-VL,PROT,HUMAN
P62280,RS11_HUMAN,RPS11,40S ribosomal protein S11,2.01E+05,1.86E+05,1.79E+05,1.91E+05,9.37E-01,9.58E-01,SKM-VL,PROT,HUMAN
P25398,RS12_HUMAN,RPS12,40S ribosomal protein S12,7.14E+04,7.41E+04,6.94E+04,8.02E+04,4.18E-01,5.79E-01,SKM-VL,PROT,HUMAN
P62277,RS13_HUMAN,RPS13,40S ribosomal protein S13,5.85E+04,7.22E+04,6.78E+04,7.78E+04,7.10E-02,1.77E-01,SKM-VL,PROT,HUMAN
P62263,RS14_HUMAN,RPS14,40S ribosomal protein S14,1.88E+05,2.47E+05,1.96E+05,2.56E+05,4.78E-02,1.34E-01,SKM-VL,PROT,HUMAN
P62244,RS15A_HUMAN,RPS15A,40S ribosomal protein S15a,2.38E+05,2.51E+05,2.41E+05,2.52E+05,8.03E-01,8.73E-01,SKM-VL,PROT,HUMAN
P62249,RS16_HUMAN,RPS16,40S ribosomal protein S16,2.79E+05,2.78E+05,2.89E+05,3.00E+05,8.73E-01,9.19E-01,SKM-VL,PROT,HUMAN
P62269,RS18_HUMAN,RPS18,40S ribosomal protein S18,1.96E+04,2.34E+04,2.52E+04,2.58E+04,3.77E-01,5.44E-01,SKM-VL,PROT,HUMAN
P39019,RS19_HUMAN,RPS19,40S ribosomal protein S19,4.49E+04,4.61E+04,3.97E+04,4.57E+04,4.45E-01,5.99E-01,SKM-VL,PROT,HUMAN
P15880,RS2_HUMAN,RPS2,40S ribosomal protein S2,1.99E+05,1.71E+05,1.94E+05,2.20E+05,6.87E-02,1.73E-01,SKM-VL,PROT,HUMAN
P60866,RS20_HUMAN,RPS20,40S ribosomal protein S20,2.72E+05,2.61E+05,2.64E+05,2.97E+05,2.65E-01,4.39E-01,SKM-VL,PROT,HUMAN
P63220,RS21_HUMAN,RPS21,40S ribosomal protein S21,1.54E+05,1.60E+05,1.39E+05,1.50E+05,4.78E-01,6.27E-01,SKM-VL,PROT,HUMAN
P62266,RS23_HUMAN,RPS23,40S ribosomal protein S23,1.67E+05,2.13E+05,1.23E+05,1.70E+05,2.72E-02,9.06E-02,SKM-VL,PROT,HUMAN
P62851,RS25_HUMAN,RPS25,40S ribosomal protein S25,2.41E+04,3.75E+04,3.21E+04,4.74E+04,7.54E-03,3.88E-02,SKM-VL,PROT,HUMAN
P62854,RS26_HUMAN,RPS26,40S ribosomal protein S26,1.67E+05,1.86E+05,1.55E+05,1.89E+05,2.31E-01,4.00E-01,SKM-VL,PROT,HUMAN
P42677,RS27_HUMAN,RPS27,40S ribosomal protein S27,5.57E+04,5.90E+04,5.68E+04,5.96E+04,9.75E-01,9.84E-01,SKM-VL,PROT,HUMAN
P62979,RS27A_HUMAN,RPS27A,Ubiquitin-40S ribosomal protein S27a,1.04E+06,1.05E+06,1.12E+06,1.15E+06,2.25E-01,3.93E-01,SKM-VL,PROT,HUMAN
P62857,RS28_HUMAN,RPS28,40S ribosomal protein S28,7.53E+03,9.57E+03,8.11E+03,7.62E+03,8.54E-01,9.05E-01,SKM-VL,PROT,HUMAN
P23396,RS3_HUMAN,RPS3,40S ribosomal protein S3,6.36E+05,6.89E+05,6.46E+05,6.96E+05,3.35E-01,5.10E-01,SKM-VL,PROT,HUMAN
P61247,RS3A_HUMAN,RPS3A,40S ribosomal protein S3a,5.58E+05,7.89E+05,6.96E+05,6.95E+05,2.95E-01,4.67E-01,SKM-VL,PROT,HUMAN
P62701,RS4X_HUMAN,RPS4X,"40S ribosomal protein S4, X isoform",1.93E+05,2.25E+05,1.99E+05,2.43E+05,1.48E-02,6.13E-02,SKM-VL,PROT,HUMAN
P46782,RS5_HUMAN,RPS5,40S ribosomal protein S5,1.88E+05,2.42E+05,1.93E+05,2.47E+05,2.41E-04,3.04E-03,SKM-VL,PROT,HUMAN
P62753,RS6_HUMAN,RPS6,40S ribosomal protein S6,9.52E+04,1.15E+05,1.33E+05,1.19E+05,1.51E-01,2.93E-01,SKM-VL,PROT,HUMAN
P62081,RS7_HUMAN,RPS7,40S ribosomal protein S7,3.94E+05,4.98E+05,4.46E+05,4.40E+05,2.66E-01,4.39E-01,SKM-VL,PROT,HUMAN
P62241,RS8_HUMAN,RPS8,40S ribosomal protein S8,2.98E+05,3.26E+05,3.23E+05,3.63E+05,1.11E-01,2.39E-01,SKM-VL,PROT,HUMAN
P46781,RS9_HUMAN,RPS9,40S ribosomal protein S9,2.24E+05,2.42E+05,2.15E+05,2.84E+05,6.44E-03,3.49E-02,SKM-VL,PROT,HUMAN
P63162,RSMN_HUMAN,SNRPN,Small nuclear ribonucleoprotein-associated protein N,2.18E+05,1.19E+05,4.24E+05,3.58E+05,6.47E-04,6.36E-03,SKM-VL,PROT,HUMAN
P08865,RSSA_HUMAN,RPSA,40S ribosomal protein SA,4.13E+05,4.59E+05,4.48E+05,4.81E+05,7.52E-03,3.88E-02,SKM-VL,PROT,HUMAN
Q15404,RSU1_HUMAN,RSU1,Ras suppressor protein 1,1.78E+05,2.18E+05,2.16E+05,2.51E+05,5.32E-02,1.44E-01,SKM-VL,PROT,HUMAN
Q9Y399,RT02_HUMAN,MRPS2,"28S ribosomal protein S2, mitochondrial",3.28E+04,6.20E+04,3.59E+04,4.07E+04,1.67E-01,3.15E-01,SKM-VL,PROT,HUMAN
P82675,RT05_HUMAN,MRPS5,"28S ribosomal protein S5, mitochondrial",4.77E+04,6.97E+04,5.19E+04,6.16E+04,5.18E-01,6.59E-01,SKM-VL,PROT,HUMAN
P82932,RT06_HUMAN,MRPS6,"28S ribosomal protein S6, mitochondrial",3.32E+03,2.64E+03,3.79E+03,4.66E+03,6.36E-03,3.46E-02,SKM-VL,PROT,HUMAN
Q9Y2R9,RT07_HUMAN,MRPS7,"28S ribosomal protein S7, mitochondrial",6.73E+03,9.36E+03,9.20E+03,8.74E+03,4.67E-01,6.16E-01,SKM-VL,PROT,HUMAN
P82933,RT09_HUMAN,MRPS9,"28S ribosomal protein S9, mitochondrial",9.75E+04,1.58E+05,1.08E+05,9.63E+04,6.78E-01,7.82E-01,SKM-VL,PROT,HUMAN
P82650,RT22_HUMAN,MRPS22,"28S ribosomal protein S22, mitochondrial",1.31E+04,2.09E+04,1.86E+04,2.35E+04,1.76E-02,6.92E-02,SKM-VL,PROT,HUMAN
Q9Y3D9,RT23_HUMAN,MRPS23,"28S ribosomal protein S23, mitochondrial",2.36E+04,2.48E+04,2.94E+04,3.77E+04,4.76E-04,5.05E-03,SKM-VL,PROT,HUMAN
Q92552,RT27_HUMAN,MRPS27,"28S ribosomal protein S27, mitochondrial",7.63E+04,6.98E+04,7.74E+04,9.42E+04,1.12E-01,2.40E-01,SKM-VL,PROT,HUMAN
Q9Y2Q9,RT28_HUMAN,MRPS28,"28S ribosomal protein S28, mitochondrial",3.41E+04,5.18E+04,4.40E+04,5.04E+04,8.43E-02,1.98E-01,SKM-VL,PROT,HUMAN
P51398,RT29_HUMAN,DAP3,"28S ribosomal protein S29, mitochondrial",9.10E+04,1.73E+05,1.41E+05,1.43E+05,1.53E-02,6.26E-02,SKM-VL,PROT,HUMAN
Q9NP92,RT30_HUMAN,MRPS30,"39S ribosomal protein S30, mitochondrial",1.57E+04,2.23E+04,1.66E+04,2.40E+04,4.09E-02,1.21E-01,SKM-VL,PROT,HUMAN
Q92665,RT31_HUMAN,MRPS31,"28S ribosomal protein S31, mitochondrial",4.92E+03,3.97E+03,6.02E+03,5.32E+03,7.03E-01,8.01E-01,SKM-VL,PROT,HUMAN
P82673,RT35_HUMAN,MRPS35,"28S ribosomal protein S35, mitochondrial",4.93E+03,7.05E+03,7.04E+03,6.99E+03,2.45E-01,4.17E-01,SKM-VL,PROT,HUMAN
P82909,RT36_HUMAN,MRPS36,"28S ribosomal protein S36, mitochondrial",2.01E+05,2.47E+05,2.51E+05,2.61E+05,6.41E-02,1.65E-01,SKM-VL,PROT,HUMAN
Q8WWV3,RT4I1_HUMAN,RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial",1.79E+04,1.55E+04,1.09E+04,1.78E+04,1.43E-01,2.85E-01,SKM-VL,PROT,HUMAN
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,8.80E+04,1.19E+05,1.07E+05,1.25E+05,2.06E-04,2.73E-03,SKM-VL,PROT,HUMAN
Q9Y3I0,RTCB_HUMAN,RTCB,RNA-splicing ligase RtcB homolog,1.50E+05,1.75E+05,1.80E+05,2.27E+05,9.93E-06,2.76E-04,SKM-VL,PROT,HUMAN
O75298,RTN2_HUMAN,RTN2,Reticulon-2,5.68E+06,5.65E+06,5.51E+06,5.44E+06,6.22E-01,7.44E-01,SKM-VL,PROT,HUMAN
O95197,RTN3_HUMAN,RTN3,Reticulon-3,4.60E+04,5.11E+04,4.96E+04,5.50E+04,9.12E-01,9.45E-01,SKM-VL,PROT,HUMAN
