Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
Q794E4,Heterogeneous nuclear ribonucleoprotein F ,21,5,12,3,Hnrnpf,1.16,1.00,1.07,1.00,HEART,PROT,RAT
G3V9Q3,Heterogeneous nuclear ribonucleoprotein H ,18,5,15,3,Hnrnph1 Hnrph1,0.90,1.00,1.12,0.92,HEART,PROT,RAT
Q5D059,Heterogeneous nuclear ribonucleoprotein K ,39,14,51,14,Hnrnpk,0.87,0.54,1.03,1.00,HEART,PROT,RAT
F1LQ48,Heterogeneous nuclear ribonucleoprotein L ,22,9,25,9,Hnrnpl; Fblim1,0.90,0.12,1.07,0.50,HEART,PROT,RAT
F1M3D3,Heterogeneous nuclear ribonucleoprotein M ,35,16,31,16,Hnrnpm,0.83,0.39,1.04,1.00,HEART,PROT,RAT
M0R735,Heterogeneous nuclear ribonucleoprotein Q ,31,13,27,10,Syncrip,1.11,0.37,1.15,0.74,HEART,PROT,RAT
Q6IMY8,Heterogeneous nuclear ribonucleoprotein U ,11,8,18,8,Hnrnpu,0.76,0.17,1.04,1.00,HEART,PROT,RAT
D4ABT8,Heterogeneous nuclear ribonucleoprotein U-like 2 ,4,2,4,2,Hnrnpul2,1.30,0.05,1.31,0.06,HEART,PROT,RAT
A7VJC2,Heterogeneous nuclear ribonucleoproteins A2/B1 ,37,10,71,9,Hnrnpa2b1,0.82,0.24,0.96,1.00,HEART,PROT,RAT
P05708,Hexokinase-1 ,32,28,117,6,Hk1,1.98,<0.01,1.46,<0.01,HEART,PROT,RAT
P27881,Hexokinase-2 ,14,12,28,8,Hk2,1.39,<0.01,1.15,0.27,HEART,PROT,RAT
Q3KRF2,High density lipoprotein binding protein (Vigilin) ,16,13,26,13,Hdlbp,1.22,1.00,1.72,1.00,HEART,PROT,RAT
P63159,High mobility group protein B1 ,29,8,30,7,Hmgb1; Hmg1l1,0.91,0.62,1.14,0.86,HEART,PROT,RAT
P52925,High mobility group protein B2 ,15,3,8,2,Hmgb2; RGD1564519; Hmgb2l1,0.98,1.00,1.12,1.00,HEART,PROT,RAT
P62749,Hippocalcin-like protein 1 ,22,4,8,4,Hpcal1,1.01,1.00,1.12,0.54,HEART,PROT,RAT
G3V8S6,"Histidine rich calcium binding protein, isoform CRA_b ",25,11,45,11,Hrc,0.77,0.11,0.92,0.84,HEART,PROT,RAT
D4AB01,"Histidine triad nucleotide binding protein 2 (Predicted), isoform CRA_a ",31,4,25,4,Hint2,0.83,0.02,0.85,0.07,HEART,PROT,RAT
P62959,Histidine triad nucleotide-binding protein 1 ,55,4,38,4,Hint1,1.11,0.82,1.20,0.70,HEART,PROT,RAT
A0A0G2K3G0,Histidine-rich glycoprotein ,7,4,10,4,Hrg rCG_36700,1.32,0.06,1.27,0.08,HEART,PROT,RAT
D3ZA85,"Histone cell cycle regulation defective interacting protein 5 (Predicted), isoform CRA_a ",19,4,19,4,Nfu1,0.99,1.00,1.01,1.00,HEART,PROT,RAT
A0A0G2K654,Histone cluster 1 H1 family member c ,19,4,10,4,LOC684681; Hist1h1c,0.79,0.70,0.78,0.69,HEART,PROT,RAT
D3ZXP3,Histone H2A ,33,4,26,2,H2afx,0.90,0.32,1.02,1.00,HEART,PROT,RAT
D4AEC0,Histone H2A ,26,3,15,2,LOC685909; H2afv,0.86,1.00,1.06,1.00,HEART,PROT,RAT
D3ZNH4,Histone H2B ,36,5,142,5,Hist1h2bo,0.89,0.78,0.95,1.00,HEART,PROT,RAT
P62804,Histone H4 ,50,5,9,5,LOC100912418; RGD1562378; LOC680097; Hist4h4; LOC100912564; LOC100912489; Hist1h4b; LOC100360950; LOC680430; LOC100912290; Hist1h4a; LOC679983; Hist2h4a; Hist1h4m; Hist2h4; LOC102551184; LOC102548682; LOC102557184; Hist1h2ao,0.88,0.88,0.70,0.06,HEART,PROT,RAT
A0A0H2UI35,Homer protein homolog 1 ,6,2,3,2,Homer1,0.92,0.78,0.64,0.02,HEART,PROT,RAT
P50503,Hsc70-interacting protein ,23,9,39,9,St13,1.27,0.02,1.27,0.05,HEART,PROT,RAT
B0BNB9,HtrA serine peptidase 2 ,12,4,10,4,Htra2,0.81,0.62,0.98,1.00,HEART,PROT,RAT
D3ZXS8,"Huntingtin interacting protein 2 (Predicted), isoform CRA_a ",18,3,4,3,Ube2k,1.14,1.00,1.30,1.00,HEART,PROT,RAT
F1LQI1,Hydroxyacyl glutathione hydrolase ,11,3,8,3,Hagh,1.13,0.12,1.04,1.00,HEART,PROT,RAT
Q9WVK7,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial ",67,15,321,15,Hadh,0.51,<0.01,0.57,<0.01,HEART,PROT,RAT
P97519,"Hydroxymethylglutaryl-CoA lyase, mitochondrial ",34,8,49,8,Hmgcl,0.99,1.00,0.99,1.00,HEART,PROT,RAT
Q4V8F9,Hydroxysteroid dehydrogenase-like protein 2 ,36,14,148,14,Hsdl2,0.60,<0.01,0.68,<0.01,HEART,PROT,RAT
Q6P136,Hyou1 protein ,30,20,38,20,Hyou1,1.07,1.00,1.13,0.69,HEART,PROT,RAT
G3V628,Hypothetical protein MGC:15854 ,11,3,6,3,RGD1302996,0.87,0.13,0.93,1.00,HEART,PROT,RAT
P27605,Hypoxanthine-guanine phosphoribosyltransferase ,48,9,79,9,Hprt1; LOC103689983,1.18,0.72,1.18,1.00,HEART,PROT,RAT
Q3MHS9,"Chaperonin containing Tcp1, subunit 6A (Zeta 1) ",47,20,74,20,Cct6a,1.23,0.27,1.32,0.07,HEART,PROT,RAT
D4ACB8,"Chaperonin subunit 8 (Theta) (Predicted), isoform CRA_a ",41,20,49,20,Cct8,1.13,0.19,1.30,0.01,HEART,PROT,RAT
G3V8C4,Chloride intracellular channel protein ,49,10,49,9,Clic4,1.54,<0.01,1.36,<0.01,HEART,PROT,RAT
Q6MG61,Chloride intracellular channel protein 1 ,21,4,9,4,Clic1,1.76,<0.01,1.60,0.01,HEART,PROT,RAT
Q9EPT8,Chloride intracellular channel protein 5 ,37,7,11,6,Clic5,1.09,1.00,1.17,1.00,HEART,PROT,RAT
P19836,Choline-phosphate cytidylyltransferase A ,13,3,5,3,Pcyt1a,0.91,1.00,1.03,1.00,HEART,PROT,RAT
D3ZPR0,Chromosome segregation 1-like ,15,10,25,10,Cse1l,0.88,1.00,1.19,1.00,HEART,PROT,RAT
P20761,Ig gamma-2B chain C region ,15,4,17,4,Igh-1a; Igh-6,1.50,<0.01,1.45,<0.01,HEART,PROT,RAT
A0A0G2K477,Immunoglobulin heavy constant mu ,18,7,41,3,Ighm,3.41,<0.01,3.77,<0.01,HEART,PROT,RAT
D4A781,Importin 5 ,19,13,39,13,Ipo5,0.92,1.00,1.14,0.62,HEART,PROT,RAT
D4AE96,Importin 7 ,10,7,17,7,Ipo7,1.51,0.02,1.35,0.07,HEART,PROT,RAT
A0A0H2UHW5,Importin subunit alpha ,5,2,3,2,Kpna5,1.11,1.00,1.26,0.61,HEART,PROT,RAT
F2Z3Q8,Importin subunit beta-1 ,21,13,48,13,Kpnb1,0.92,1.00,1.40,0.18,HEART,PROT,RAT
F7EPH4,Inorganic pyrophosphatase 1 ,42,10,34,10,Ppa1,0.89,0.86,0.97,1.00,HEART,PROT,RAT
D4A830,Inorganic pyrophosphatase 2 ,56,13,66,13,Ppa2,0.78,<0.01,0.77,0.01,HEART,PROT,RAT
D3ZW55,Inosine triphosphate pyrophosphatase ,23,4,11,4,Itpa,1.07,1.00,1.39,0.15,HEART,PROT,RAT
P35559,Insulin-degrading enzyme ,10,8,13,8,Ide,1.60,0.01,1.49,0.04,HEART,PROT,RAT
Q5XIE8,Integral membrane protein 2B ,9,2,4,2,Itm2b,1.69,0.22,1.37,0.59,HEART,PROT,RAT
P18614,Integrin alpha-1 ,8,8,18,8,Itga1,1.33,0.40,1.24,0.26,HEART,PROT,RAT
Q63258,Integrin alpha-7 ,18,16,50,16,Itga7,0.94,0.65,1.03,1.00,HEART,PROT,RAT
A0A0G2JSK5,Integrin beta ,16,10,33,10,Itgb1,1.23,0.13,1.25,0.14,HEART,PROT,RAT
D3ZW59,Integrin beta 1 binding protein 2 (Predicted) ,19,4,15,4,Itgb1bp2,1.14,0.36,1.28,0.09,HEART,PROT,RAT
Q99J82,Integrin-linked protein kinase ,27,12,32,12,Ilk,0.89,0.92,1.28,0.15,HEART,PROT,RAT
Q5EBC0,"Inter alpha-trypsin inhibitor, heavy chain 4 ",18,14,40,14,Itih4,1.63,<0.01,1.57,0.01,HEART,PROT,RAT
B2RYM3,"Inter-alpha trypsin inhibitor, heavy chain 1 ",9,6,11,6,Itih1,0.94,0.66,1.05,0.85,HEART,PROT,RAT
D3ZFH5,Inter-alpha-trypsin inhibitor heavy chain 2 ,10,5,13,5,Itih2,1.24,0.35,1.21,0.47,HEART,PROT,RAT
D3ZBS2,Inter-alpha-trypsin inhibitor heavy chain H3 ,17,9,32,9,Itih3,1.42,0.43,1.11,1.00,HEART,PROT,RAT
Q6AXM6,Intercellular adhesion molecule 2 ,8,2,7,2,Icam2,1.32,0.89,1.25,1.00,HEART,PROT,RAT
G3V7Q7,"IQ motif containing GTPase activating protein 1 (Predicted), isoform CRA_b ",16,19,33,18,Iqgap1,1.25,0.01,1.39,<0.01,HEART,PROT,RAT
Q80W96,"Iron-sulfur cluster assembly 1 homolog, mitochondrial ",19,2,4,2,Isca1,1.07,1.00,1.03,1.00,HEART,PROT,RAT
D4ADG2,Iron-sulfur cluster assembly factor IBA57 ,37,8,22,8,Iba57,1.19,0.40,0.94,1.00,HEART,PROT,RAT
Q8VI04,Isoaspartyl peptidase/L-asparaginase ,20,6,11,6,Asrgl1,0.94,1.00,0.98,1.00,HEART,PROT,RAT
Q99NA5,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial ",38,12,322,12,Idh3a,1.00,1.00,0.99,1.00,HEART,PROT,RAT
Q68FX0,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial ",44,14,105,14,Idh3B,1.01,1.00,1.01,1.00,HEART,PROT,RAT
Q5XIJ3,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial ",34,10,72,10,Idh3g,1.03,1.00,1.01,1.00,HEART,PROT,RAT
P41562,Isocitrate dehydrogenase [NADP] cytoplasmic ,45,16,79,15,Idh1,1.11,0.64,0.95,1.00,HEART,PROT,RAT
P56574,"Isocitrate dehydrogenase [NADP], mitochondrial ",42,23,669,22,Idh2,0.90,0.06,0.88,0.06,HEART,PROT,RAT
F2Z3T7,Isochorismatase domain-containing protein 1 ,37,7,12,7,LOC103694869,0.55,0.03,0.73,0.16,HEART,PROT,RAT
Q5U3Z3,Isochorismatase domain-containing protein 2 ,36,4,15,3,Isoc2b,0.56,0.07,0.61,0.26,HEART,PROT,RAT
A0A0G2K261,"Isoleucyl-tRNA synthetase 2, mitochondrial ",29,23,74,23,Iars2,0.98,1.00,1.05,0.97,HEART,PROT,RAT
P12007,"Isovaleryl-CoA dehydrogenase, mitochondrial ",54,17,172,17,Ivd,0.91,0.05,0.90,0.04,HEART,PROT,RAT
Q2PS20,Junctophilin-2 ,16,8,37,8,Jph2,0.89,0.59,1.01,1.00,HEART,PROT,RAT
P97569,Kallistatin ,12,4,6,4,Serpina4,1.05,1.00,1.43,0.24,HEART,PROT,RAT
Q9ER30,Kelch-like protein 41 ,14,8,33,8,Kbtbd10; Klhl41,1.49,<0.01,1.49,<0.01,HEART,PROT,RAT
Q6IFW6,"Keratin, type I cytoskeletal 10 ",19,12,101,9,Krt10,0.85,0.16,1.46,0.01,HEART,PROT,RAT
Q6IMF3,"Keratin, type II cytoskeletal 1 ",9,7,43,5,Krt1,0.85,0.62,1.18,0.38,HEART,PROT,RAT
A0A0G2JWX4,"Keratin, type II cytoskeletal 2 epidermal ",8,6,20,4,Krt2,0.75,0.66,1.52,0.29,HEART,PROT,RAT
Q6P6Q2,"Keratin, type II cytoskeletal 5 ",13,8,42,3,Krt5,0.72,0.58,1.49,0.35,HEART,PROT,RAT
Q9QYU4,Ketimine reductase mu-crystallin ,30,7,19,7,Crym,1.17,0.56,0.91,0.83,HEART,PROT,RAT
Q2PQA9,Kinesin-1 heavy chain ,31,24,59,24,Kif5b,1.30,<0.01,1.27,<0.01,HEART,PROT,RAT
Q5PQU1,Kininogen 1 ,23,9,49,5,Kng1; Kng2,2.82,<0.01,2.91,<0.01,HEART,PROT,RAT
D4ACC2,KN motif and ankyrin repeat domain-containing protein 2 ,22,11,25,11,Kank2,0.81,1.00,1.36,0.62,HEART,PROT,RAT
Q5M8A0,Kng2 protein ,11,5,20,2,Kng2; Kng2l1,1.30,0.35,1.24,0.50,HEART,PROT,RAT
Q08415,"Kynurenine--oxoglutarate transaminase 1, mitochondrial ",19,6,22,6,Ccbl1; Kyat1,0.77,0.12,0.83,0.44,HEART,PROT,RAT
Q58FK9,Kynurenine--oxoglutarate transaminase 3 ,28,9,25,9,Kat3; Ccbl2; Kyat3,0.84,0.05,0.97,1.00,HEART,PROT,RAT
D3ZVS2,L-2-hydroxyglutarate dehydrogenase ,25,10,22,10,L2hgdh,0.77,0.36,0.98,1.00,HEART,PROT,RAT
Q1PBJ1,Lactadherin ,26,9,20,9,Mfge8,1.01,1.00,1.07,1.00,HEART,PROT,RAT
A0A0G2K1W9,Lactate dehydrogenase D ,8,3,7,3,Ldhd,0.93,1.00,0.67,0.28,HEART,PROT,RAT
Q6P7Q4,Lactoylglutathione lyase ,39,8,50,8,Glo1,0.99,1.00,0.96,0.79,HEART,PROT,RAT
Q811X6,Lambda-crystallin homolog ,11,3,10,3,Cryl1,0.99,1.00,1.14,0.86,HEART,PROT,RAT
G3V8L3,"Lamin A, isoform CRA_b ",54,35,184,35,Lmna,1.14,0.01,1.22,<0.01,HEART,PROT,RAT
D3ZLC1,Lamin B2 ,15,8,12,8,Lmnb2,0.95,1.00,1.37,0.77,HEART,PROT,RAT
G3V7U4,Lamin-B1 ,36,17,44,17,LOC497722,0.86,0.08,1.05,0.88,HEART,PROT,RAT
F1M614,Laminin subunit alpha 2 ,23,61,211,61,Lama2,0.75,<0.01,0.85,<0.01,HEART,PROT,RAT
F1LTF8,Laminin subunit alpha 4 ,17,21,48,21,Lama4,1.25,0.01,1.22,0.04,HEART,PROT,RAT
F1MAN8,Laminin subunit alpha 5 ,14,38,94,38,Lama5,1.22,0.23,1.37,0.07,HEART,PROT,RAT
D3ZQN7,Laminin subunit beta 1 ,17,27,104,27,Lamb1,1.01,1.00,0.92,0.62,HEART,PROT,RAT
P15800,Laminin subunit beta-2 ,23,37,159,37,Lamb2,0.99,0.90,1.09,0.04,HEART,PROT,RAT
F1MAA7,Laminin subunit gamma 1 ,24,31,156,31,Lamc1,0.95,0.49,1.03,0.55,HEART,PROT,RAT
Q6MG49,Large proline-rich protein BAG6 ,6,4,5,4,Bag6,1.06,0.99,1.04,1.00,HEART,PROT,RAT
Q5XIG1,Ldb3 protein ,83,15,279,5,Ldb3,0.69,0.10,0.72,0.27,HEART,PROT,RAT
A1A5Q0,Leiomodin-2 ,17,9,25,9,Lmod2,1.41,0.02,1.27,0.04,HEART,PROT,RAT
F1LM33,"Leucine-rich PPR motif-containing protein, mitochondrial ",35,43,132,43,Lrpprc,0.96,1.00,1.14,0.07,HEART,PROT,RAT
F1LT49,Leucine-rich repeat-containing 47 ,6,3,4,3,Lrrc47,0.96,1.00,1.13,1.00,HEART,PROT,RAT
Q5RJR8,Leucine-rich repeat-containing protein 59 ,11,3,6,3,Lrrc59,1.56,0.02,1.08,0.86,HEART,PROT,RAT
D3Z9N3,"Leucyl-tRNA synthetase 2, mitochondrial ",4,2,3,2,Lars2,0.87,1.00,0.74,0.59,HEART,PROT,RAT
P97829,Leukocyte surface antigen CD47 ,10,3,10,3,Cd47,0.91,0.88,1.08,1.00,HEART,PROT,RAT
Q499P2,Leukotriene A(4) hydrolase ,12,5,7,5,Lta4h,1.31,0.90,1.58,0.57,HEART,PROT,RAT
Q6AYF2,LIM and cysteine-rich domains 1 ,33,9,35,9,Lmcd1,1.74,0.01,1.59,0.01,HEART,PROT,RAT
C0KUC6,LIM and senescent cell antigen-like-containing domain protein ,5,2,8,2,Lims1,1.01,1.00,0.98,1.00,HEART,PROT,RAT
Q99MZ8,LIM and SH3 domain protein 1 ,21,5,8,5,Lasp1,1.12,1.00,1.03,1.00,HEART,PROT,RAT
A0A0G2K8R3,LIM domain 7 ,16,19,28,19,Lmo7,1.25,0.67,1.14,0.95,HEART,PROT,RAT
A0A096MJ01,LIM domain-binding 3 ,36,19,312,9,Ldb3,1.13,0.12,0.99,1.00,HEART,PROT,RAT
Q5XI07,Lipoma-preferred partner homolog ,13,4,8,4,Lpp,0.83,1.00,1.38,0.71,HEART,PROT,RAT
Q06000,Lipoprotein lipase ,12,4,11,4,Lpl,0.70,0.51,1.43,0.54,HEART,PROT,RAT
P04642,L-lactate dehydrogenase A chain ,51,17,265,16,Ldha,1.49,<0.01,1.39,<0.01,HEART,PROT,RAT
P42123,L-lactate dehydrogenase B chain ,49,20,509,19,Ldhb,0.91,0.46,0.92,0.16,HEART,PROT,RAT
B0BNJ1,LOC683667 protein ,16,3,8,3,Sri,1.03,0.94,1.08,0.82,HEART,PROT,RAT
B2RYX1,LOC685322 protein ,52,3,25,3,LOC685322; Uqcr10,1.03,1.00,0.90,1.00,HEART,PROT,RAT
Q924S5,"Lon protease homolog, mitochondrial ",46,28,121,28,Lonp1,0.91,0.30,1.04,0.63,HEART,PROT,RAT
P15650,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial ",43,23,503,23,Acadl,0.94,0.53,0.89,0.13,HEART,PROT,RAT
P18163,Long-chain-fatty-acid--CoA ligase 1 ,38,26,204,26,Acsl1,0.62,<0.01,0.80,<0.01,HEART,PROT,RAT
Q6TXE7,LRRGT00052 ,12,21,50,15,,1.15,0.45,1.17,0.23,HEART,PROT,RAT
Q6QI16,LRRGT00192 ,27,6,34,6,RGD1304704; Rtraf,1.15,0.48,1.22,0.27,HEART,PROT,RAT
Q8VHS9,L-type calcium channel alpha2/delta subunit ,11,8,14,8,Cacna2d1,0.87,0.01,0.98,1.00,HEART,PROT,RAT
P51886,Lumican ,35,10,92,10,Lum,0.89,<0.01,1.05,0.08,HEART,PROT,RAT
P38656,Lupus La protein homolog ,7,2,5,2,Ssb,0.85,1.00,1.07,1.00,HEART,PROT,RAT
A0A0G2JT25,L-xylulose reductase ,12,2,7,2,Dcxr,0.57,0.07,1.02,1.00,HEART,PROT,RAT
Q5XIM7,Lysine--tRNA ligase ,18,10,19,10,Kars,1.05,1.00,1.07,0.95,HEART,PROT,RAT
P14562,Lysosome-associated membrane glycoprotein 1 ,12,4,9,4,Lamp1,0.94,1.00,1.25,0.67,HEART,PROT,RAT
P17046,Lysosome-associated membrane glycoprotein 2 ,7,2,21,2,Lamp2,1.15,1.00,1.07,1.00,HEART,PROT,RAT
Q6AY04,"m-AAA protease-interacting protein 1, mitochondrial ",18,5,11,5,MGC94335; Maip1,1.00,1.00,0.75,0.62,HEART,PROT,RAT
Q6AYC4,Macrophage-capping protein ,38,9,19,9,Capg,2.25,0.35,1.48,0.90,HEART,PROT,RAT
P02761,Major urinary protein ,47,8,26,7,LOC259246,1.61,0.41,2.04,0.19,HEART,PROT,RAT
Q62667,Major vault protein ,45,26,100,26,Mvp,2.38,<0.01,1.93,<0.01,HEART,PROT,RAT
O88989,"Malate dehydrogenase, cytoplasmic ",55,16,309,16,Mdh1,0.88,<0.01,0.89,<0.01,HEART,PROT,RAT
P04636,"Malate dehydrogenase, mitochondrial ",49,16,654,16,Mdh2,0.89,<0.01,0.84,<0.01,HEART,PROT,RAT
P57113,Maleylacetoacetate isomerase ,53,8,41,8,Gstz1,0.47,<0.01,0.85,0.20,HEART,PROT,RAT
A0A0G2K1S6,Malic enzyme ,32,14,25,14,Me1,0.88,1.00,0.99,1.00,HEART,PROT,RAT
F1M5N4,Malic enzyme ,38,19,85,18,Me3,0.75,0.01,0.89,0.82,HEART,PROT,RAT
Q4G009,Malignant T-cell-amplified sequence 1 ,41,5,20,5,Mcts1,1.03,0.93,1.01,1.00,HEART,PROT,RAT
Q920F5,"Malonyl-CoA decarboxylase, mitochondrial ",33,12,39,12,Mlycd,0.71,0.04,0.76,0.49,HEART,PROT,RAT
D3ZPF2,Malonyl-CoA-acyl carrier protein transacylase ,12,3,6,3,Mcat,0.84,0.37,0.95,0.95,HEART,PROT,RAT
Q5XII0,Mammalian ependymin-related protein 1 ,18,4,12,4,Epdr1,0.79,0.13,0.83,0.11,HEART,PROT,RAT
Q68FX1,Mannose-6-phosphate isomerase ,20,7,15,7,Mpi,0.91,1.00,0.95,1.00,HEART,PROT,RAT
B1H230,Map2k3 protein ,11,3,19,3,LOC100911550; Map2k3,0.72,0.55,1.15,1.00,HEART,PROT,RAT
A0A0G2JSR7,Matrin-3 ,8,5,16,5,Matr3,0.69,0.07,0.93,1.00,HEART,PROT,RAT
Q499N5,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial ",42,18,165,18,Acsf2,0.47,<0.01,0.62,0.01,HEART,PROT,RAT
P08503,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",51,17,185,17,Acadm,0.68,<0.01,0.72,0.01,HEART,PROT,RAT
Q5U1Z9,Metaxin 2 ,38,8,72,8,Mtx2,1.00,1.00,1.14,0.22,HEART,PROT,RAT
F1LRJ9,Methanethiol oxidase ,48,20,120,20,Selenbp1 LOC103689947,0.70,<0.01,0.85,0.15,HEART,PROT,RAT
Q5XIT9,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial ",56,26,195,26,Mccc2,0.96,0.50,1.06,0.08,HEART,PROT,RAT
F1LP30,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial ",48,23,113,23,Mccc1,1.02,1.00,1.07,0.91,HEART,PROT,RAT
F1LU71,"Methylglutaconyl-CoA hydratase, mitochondrial ",29,10,44,10,Auh,0.66,<0.01,0.74,<0.01,HEART,PROT,RAT
D4A197,Methylmalonyl CoA epimerase ,34,3,30,3,Mcee,0.86,0.04,0.87,0.13,HEART,PROT,RAT
D3ZKG1,Methylmalonyl-CoA mutase ,29,18,58,18,Mut,0.83,<0.01,0.90,0.08,HEART,PROT,RAT
M0R7G4,MICOS complex subunit ,58,8,65,8,Apoo,0.89,0.40,0.98,1.00,HEART,PROT,RAT
D3ZUX5,MICOS complex subunit ,37,10,65,10,Chchd3,0.86,0.61,0.91,0.44,HEART,PROT,RAT
Q5U1W6,MICOS complex subunit ,57,12,66,12,Apool,0.86,0.54,1.01,1.00,HEART,PROT,RAT
A0A0G2JVH4,MICOS complex subunit MIC60 ,54,39,267,39,Immt,0.83,<0.01,1.11,0.03,HEART,PROT,RAT
D4ADS4,Microsomal glutathione S-transferase 3 ,34,3,26,3,Mgst3,0.99,1.00,1.08,1.00,HEART,PROT,RAT
A0A0G2JW88,Microtubule-associated protein ,20,29,76,29,Map4,1.68,<0.01,1.48,<0.01,HEART,PROT,RAT
F1LST4,Microtubule-associated protein ,19,7,10,7,LOC497674; Mapt,1.17,0.04,1.19,0.08,HEART,PROT,RAT
G3V7U2,"Microtubule-associated protein 1 A, isoform CRA_c ",15,29,56,28,Map1a,2.16,<0.01,1.74,<0.01,HEART,PROT,RAT
Q66HR2,Microtubule-associated protein RP/EB family member 1 ,21,5,10,4,Mapre1,1.20,0.87,1.27,0.69,HEART,PROT,RAT
Q5XIT1,Microtubule-associated protein RP/EB family member 3 ,17,4,6,2,Mapre3,0.97,1.00,1.02,1.00,HEART,PROT,RAT
P63086,Mitogen-activated protein kinase 1 ,20,5,12,4,Mapk1,1.06,1.00,1.30,0.33,HEART,PROT,RAT
F1LP57,Mitogen-activated protein kinase kinase 4 ,20,5,9,5,Map2k4,0.85,0.90,0.86,0.95,HEART,PROT,RAT
G3V6H5,Mitochondrial 2-oxoglutarate/malate carrier protein ,57,14,101,14,Slc25a11,0.94,0.94,0.97,1.00,HEART,PROT,RAT
Q66HG9,Mitochondrial antiviral-signaling protein ,40,11,36,11,Mavs,1.47,0.04,1.28,0.20,HEART,PROT,RAT
A0A0G2K059,Mitochondrial calcium uniporter ,18,5,10,5,Mcu,0.79,0.46,1.04,1.00,HEART,PROT,RAT
P97521,Mitochondrial carnitine/acylcarnitine carrier protein ,35,9,36,9,Slc25a20,0.57,<0.01,0.69,<0.01,HEART,PROT,RAT
B0BN52,Mitochondrial carrier 2 ,23,6,34,6,Mtch2,1.02,1.00,1.14,0.27,HEART,PROT,RAT
P84817,Mitochondrial fission 1 protein ,32,5,38,5,Fis1,0.85,0.81,0.90,0.86,HEART,PROT,RAT
Q5XIG9,Mitochondrial fission process 1 ,34,5,28,5,Mtfp1,0.68,0.01,0.96,1.00,HEART,PROT,RAT
Q5XII9,Mitochondrial fission regulator 1-like ,20,4,8,4,Fam54b; Mtfr1l,1.09,0.93,1.01,1.00,HEART,PROT,RAT
P62076,Mitochondrial import inner membrane translocase subunit Tim13 ,37,3,21,3,Timm13,0.92,1.00,0.96,1.00,HEART,PROT,RAT
Q5U2X7,Mitochondrial import inner membrane translocase subunit Tim21 ,26,6,18,6,Timm21,0.62,<0.01,0.84,0.07,HEART,PROT,RAT
O35094,Mitochondrial import inner membrane translocase subunit TIM44 ,28,12,43,12,Timm44,0.89,0.21,0.95,0.86,HEART,PROT,RAT
D3ZJX5,Mitochondrial import inner membrane translocase subunit TIM50 ,26,7,33,7,LOC687295; Timm50,1.01,1.00,0.87,0.78,HEART,PROT,RAT
Q9WVA1,Mitochondrial import inner membrane translocase subunit Tim8 A ,53,3,9,3,Timm8a1,1.12,1.00,1.04,1.00,HEART,PROT,RAT
Q9WV97,Mitochondrial import inner membrane translocase subunit Tim9 ,35,3,12,3,Timm9,1.03,1.00,1.15,0.57,HEART,PROT,RAT
Q3KRD5,Mitochondrial import receptor subunit TOM34 ,7,2,4,2,Tomm34,1.22,0.76,1.40,0.38,HEART,PROT,RAT
G3V8F5,Mitochondrial import receptor subunit TOM40 homolog ,29,6,17,6,Tomm40,1.16,0.26,1.09,0.92,HEART,PROT,RAT
R9PXR4,Mitochondrial import receptor subunit TOM70 ,10,7,12,7,Tomm70a; Tomm70,1.20,0.43,1.16,0.64,HEART,PROT,RAT
A0A0H2UHS3,Mitochondrial potassium channel ,39,11,22,11,Ccdc51,0.85,0.84,1.00,1.00,HEART,PROT,RAT
Q5XIN6,Mitochondrial proton/calcium exchanger protein ,43,26,104,26,Letm1,0.97,0.53,1.02,1.00,HEART,PROT,RAT
P63031,Mitochondrial pyruvate carrier 1 ,31,2,26,2,Mpc1,0.82,0.87,1.04,1.00,HEART,PROT,RAT
P38718,Mitochondrial pyruvate carrier 2 ,51,7,40,7,Mpc2,1.01,1.00,0.89,0.84,HEART,PROT,RAT
B5DER4,Mitochondrial ribosomal protein L1 ,17,5,5,5,Mrpl1,0.77,0.45,0.65,0.28,HEART,PROT,RAT
D3ZXF9,Mitochondrial ribosomal protein L12 ,16,4,15,4,Mrpl12,0.77,0.03,0.89,0.35,HEART,PROT,RAT
D4A131,Mitochondrial ribosomal protein L4 ,13,3,5,3,Mrpl4,0.62,0.07,0.77,0.34,HEART,PROT,RAT
D3ZDP2,Mitochondrial ribosomal protein L58 ,15,2,4,2,Ict1; Mrpl58,0.66,0.09,0.73,0.19,HEART,PROT,RAT
D4A3E8,Mitochondrial ribosomal protein S27 ,16,6,16,6,Mrps27,0.81,0.08,0.99,1.00,HEART,PROT,RAT
M0R776,Mitochondrial ribosomal protein S36 ,47,4,29,4,Mrps36,1.05,0.60,0.95,0.52,HEART,PROT,RAT
