Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
Q9WVL3,Slc12a7 Kcc4,0.966,4,0.5084,Solute carrier family 12 member 7 OS=Mus musculus GN=Slc12a7 PE=1 SV=1,HEART,PROT,HUMAN
Q61160,Fadd Mort1,0.966,8,0.6014,FAS-associated death domain protein OS=Mus musculus GN=Fadd PE=1 SV=1,HEART,PROT,HUMAN
E0CXB1,Psma6,0.965,3,0.7848,Proteasome endopeptidase complex OS=Mus musculus GN=Psma6 PE=1 SV=1,HEART,PROT,HUMAN
Q9D7A8,Armc1,0.964,3,0.6214,Armadillo repeat-containing protein 1 OS=Mus musculus GN=Armc1 PE=1 SV=1,HEART,PROT,HUMAN
E9Q242,Adsl,0.964,3,0.7142,Adenylosuccinate lyase OS=Mus musculus GN=Adsl PE=1 SV=1,HEART,PROT,HUMAN
P35585,Ap1m1 Cltnm,0.964,3,0.7453,AP-1 complex subunit mu-1 OS=Mus musculus GN=Ap1m1 PE=1 SV=3,HEART,PROT,HUMAN
F7C106,Cox5b,0.963,10,0.2195,"Cytochrome c oxidase subunit 5B, mitochondrial (Fragment) OS=Mus musculus GN=Cox5b PE=1 SV=1",HEART,PROT,HUMAN
Q9DC61,Pmpca Inpp5e,0.963,8,0.4808,Mitochondrial-processing peptidase subunit alpha OS=Mus musculus GN=Pmpca PE=1 SV=1,HEART,PROT,HUMAN
A0A0J9YUI1,Ube2k,0.963,4,0.5893,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus GN=Ube2k PE=1 SV=1,HEART,PROT,HUMAN
Q8VCI5,Pex19 Pxf,0.963,5,0.6069,Peroxisomal biogenesis factor 19 OS=Mus musculus GN=Pex19 PE=1 SV=1,HEART,PROT,HUMAN
Q3UH68,Limch1 Kiaa1102,0.962,13,0.2616,LIM and calponin homology domains-containing protein 1 OS=Mus musculus GN=Limch1 PE=1 SV=2,HEART,PROT,HUMAN
E9QQ25,Speg,0.962,26,0.2791,Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus GN=Speg PE=1 SV=1,HEART,PROT,HUMAN
O54946,Dnajb6 Hsj2 Mrj,0.962,12,0.5023,DnaJ homolog subfamily B member 6 OS=Mus musculus GN=Dnajb6 PE=1 SV=4,HEART,PROT,HUMAN
Q8BIW1,Prune1 Prune,0.962,3,0.5384,Exopolyphosphatase PRUNE1 OS=Mus musculus GN=Prune1 PE=1 SV=1,HEART,PROT,HUMAN
Q8K4Z3,Naxe Aibp Apoa1bp,0.962,4,0.5604,NAD(P)H-hydrate epimerase OS=Mus musculus GN=Naxe PE=1 SV=1,HEART,PROT,HUMAN
Q9Z1N5,Ddx39b Bat1 Bat1a Uap56,0.962,4,0.7952,Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1,HEART,PROT,HUMAN
E9QLJ0,Cmya5,0.961,23,0.1474,Cardiomyopathy-associated protein 5 OS=Mus musculus GN=Cmya5 PE=1 SV=1,HEART,PROT,HUMAN
P08228,Sod1,0.961,13,0.1705,Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2,HEART,PROT,HUMAN
Q9CR10,Oxld1,0.961,3,0.402,Oxidoreductase-like domain-containing protein 1 OS=Mus musculus GN=Oxld1 PE=1 SV=1,HEART,PROT,HUMAN
Q99KK7,Dpp3,0.961,3,0.6017,Dipeptidyl peptidase 3 OS=Mus musculus GN=Dpp3 PE=1 SV=2,HEART,PROT,HUMAN
D3Z440,Cops7a,0.961,3,0.7619,COP9 signalosome complex subunit 7a (Fragment) OS=Mus musculus GN=Cops7a PE=1 SV=8,HEART,PROT,HUMAN
D3YYS6,Mgll,0.96,3,0.2269,Monoglyceride lipase OS=Mus musculus GN=Mgll PE=1 SV=1,HEART,PROT,HUMAN
P82347,Sgcd,0.959,7,0.09232,Delta-sarcoglycan OS=Mus musculus GN=Sgcd PE=1 SV=1,HEART,PROT,HUMAN
Q8K2Y7,Mrpl47,0.959,3,0.4515,"39S ribosomal protein L47, mitochondrial OS=Mus musculus GN=Mrpl47 PE=1 SV=2",HEART,PROT,HUMAN
A0A1Y7VMA0,Nqo2,0.958,3,0.2952,Ribosyldihydronicotinamide dehydrogenase [quinone] (Fragment) OS=Mus musculus GN=Nqo2 PE=1 SV=1,HEART,PROT,HUMAN
G3X8R0,Reep5 mCG_121499,0.958,10,0.4625,Receptor expression-enhancing protein OS=Mus musculus GN=Reep5 PE=1 SV=1,HEART,PROT,HUMAN
Q8C7H1,Mmaa,0.957,6,0.02265,"Methylmalonic aciduria type A homolog, mitochondrial OS=Mus musculus GN=Mmaa PE=1 SV=1",HEART,PROT,HUMAN
P62631,Eef1a2 Eef1al Stn,0.957,31,0.2862,Elongation factor 1-alpha 2 OS=Mus musculus GN=Eef1a2 PE=1 SV=1,HEART,PROT,HUMAN
Q8VBV7,Cops8 Csn8,0.956,4,0.7712,COP9 signalosome complex subunit 8 OS=Mus musculus GN=Cops8 PE=1 SV=1,HEART,PROT,HUMAN
O70622,Rtn2 Nspl1,0.956,3,0.7817,Reticulon-2 OS=Mus musculus GN=Rtn2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D5T0,Atad1,0.956,4,0.8644,ATPase family AAA domain-containing protein 1 OS=Mus musculus GN=Atad1 PE=1 SV=1,HEART,PROT,HUMAN
Q9DBG5,Plin3 M6prbp1 Tip47,0.954,14,0.4213,Perilipin-3 OS=Mus musculus GN=Plin3 PE=1 SV=1,HEART,PROT,HUMAN
Q78J03,Msrb2,0.954,5,0.4694,"Methionine-R-sulfoxide reductase B2, mitochondrial OS=Mus musculus GN=Msrb2 PE=1 SV=1",HEART,PROT,HUMAN
A2AKN8,Mup8 Mup5 OTTMUSG00000008509,0.954,3,0.5571,Major urinary protein 5 OS=Mus musculus GN=Mup8 PE=3 SV=1,HEART,PROT,HUMAN
P29758,Oat,0.953,15,0.1435,"Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1",HEART,PROT,HUMAN
Q8CDV7,Entpd1,0.953,5,0.4694,Ectonucleoside triphosphate diphosphohydrolase 1 OS=Mus musculus GN=Entpd1 PE=1 SV=1,HEART,PROT,HUMAN
Q3V384,Afg1l Lace1,0.953,4,0.5306,AFG1-like ATPase OS=Mus musculus GN=Afg1l PE=1 SV=1,HEART,PROT,HUMAN
P14094,Atp1b1 Atp4b,0.952,6,0.114,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus GN=Atp1b1 PE=1 SV=1,HEART,PROT,HUMAN
B1AT36,Psmd12,0.952,5,0.3088,26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=1,HEART,PROT,HUMAN
Q8BH86,Dglucy,0.951,9,0.07449,"D-glutamate cyclase, mitochondrial OS=Mus musculus GN=Dglucy PE=1 SV=1",HEART,PROT,HUMAN
P0DP26,Calm1 Calm Cam Cam1,0.951,18,0.226,Calmodulin-1 OS=Mus musculus GN=Calm1 PE=1 SV=1,HEART,PROT,HUMAN
Q8VDN2,Atp1a1,0.95,59,0.05935,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BH80,Vapb mCG_13760,0.95,12,0.1685,"Vesicle-associated membrane protein, associated protein B and C OS=Mus musculus GN=Vapb PE=1 SV=1",HEART,PROT,HUMAN
Q9QYR9,Acot2 Mte1,0.95,29,0.1923,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2",HEART,PROT,HUMAN
P97384,Anxa11 Anx11,0.95,9,0.2508,Annexin A11 OS=Mus musculus GN=Anxa11 PE=1 SV=2,HEART,PROT,HUMAN
A0A0N4SUX5,Eno2,0.95,14,0.2753,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=1,HEART,PROT,HUMAN
A3KFX0,Nt5c1a,0.95,3,0.6954,Cytosolic 5'-nucleotidase 1A OS=Mus musculus GN=Nt5c1a PE=1 SV=1,HEART,PROT,HUMAN
P58389,Ptpa Ppp2r4,0.948,6,0.1385,Serine/threonine-protein phosphatase 2A activator OS=Mus musculus GN=Ptpa PE=1 SV=1,HEART,PROT,HUMAN
P22599,Serpina1b Aat2 Dom2 Spi1-2,0.948,18,0.2602,Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2,HEART,PROT,HUMAN
S4R2R5,Ank2,0.948,10,0.4984,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=3,HEART,PROT,HUMAN
P97355,Sms,0.947,3,0.2128,Spermine synthase OS=Mus musculus GN=Sms PE=1 SV=1,HEART,PROT,HUMAN
A0A087WNW8,Clasp1,0.947,6,0.5707,CLIP-associating protein 1 OS=Mus musculus GN=Clasp1 PE=1 SV=2,HEART,PROT,HUMAN
Q99LX0,Park7,0.946,14,0.1542,Protein/nucleic acid deglycase DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1,HEART,PROT,HUMAN
Q3UN10,Wfs1,0.946,6,0.498,Wolframin OS=Mus musculus GN=Wfs1 PE=1 SV=1,HEART,PROT,HUMAN
Q9WTP6,Ak2,0.945,17,0.03261,"Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5",HEART,PROT,HUMAN
D3Z5K6,Dnajc19,0.945,3,0.5339,Mitochondrial import inner membrane translocase subunit TIM14 OS=Mus musculus GN=Dnajc19 PE=1 SV=1,HEART,PROT,HUMAN
Q05D44,Eif5b If2,0.945,3,0.591,Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2,HEART,PROT,HUMAN
A0A087WQ94,Tns1,0.944,17,0.2519,Tensin 1 (Fragment) OS=Mus musculus GN=Tns1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CRD2,Emc2 Kiaa0103 Ttc35,0.944,4,0.441,ER membrane protein complex subunit 2 OS=Mus musculus GN=Emc2 PE=1 SV=1,HEART,PROT,HUMAN
A0A1L1SQ51,Tln2,0.943,46,0.04899,Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=1,HEART,PROT,HUMAN
A2AQA9,Neb,0.943,6,0.1545,Nebulin OS=Mus musculus GN=Neb PE=1 SV=1,HEART,PROT,HUMAN
A0A140LJL0,Cd81,0.943,3,0.1798,CD81 antigen (Fragment) OS=Mus musculus GN=Cd81 PE=1 SV=1,HEART,PROT,HUMAN
P28654,Dcn,0.943,6,0.3542,Decorin OS=Mus musculus GN=Dcn PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J174,Ecsit Sitpec mCG_22835,0.943,8,0.4709,"Evolutionarily conserved-signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus GN=Ecsit PE=1 SV=1",HEART,PROT,HUMAN
P21278,Gna11 Gna-11,0.943,5,0.5192,Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus GN=Gna11 PE=1 SV=1,HEART,PROT,HUMAN
Q11011,Npepps Psa,0.942,8,0.2218,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2,HEART,PROT,HUMAN
P51660,Hsd17b4 Edh17b4,0.941,7,0.05187,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus GN=Hsd17b4 PE=1 SV=3,HEART,PROT,HUMAN
O35857,Timm44 Mimt44 Tim44,0.941,16,0.08147,Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus GN=Timm44 PE=1 SV=2,HEART,PROT,HUMAN
Q9JJZ2,Tuba8,0.941,26,0.1747,Tubulin alpha-8 chain OS=Mus musculus GN=Tuba8 PE=1 SV=1,HEART,PROT,HUMAN
Q9ES83,Bves Pop1 Popdc1,0.941,5,0.3508,Blood vessel epicardial substance OS=Mus musculus GN=Bves PE=1 SV=1,HEART,PROT,HUMAN
B7ZN28,Papln,0.941,4,0.5464,Papilin OS=Mus musculus GN=Papln PE=1 SV=1,HEART,PROT,HUMAN
Q9D5V5,Cul5,0.94,7,0.1767,Cullin-5 OS=Mus musculus GN=Cul5 PE=1 SV=3,HEART,PROT,HUMAN
P50247,Ahcy,0.94,6,0.2179,Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3,HEART,PROT,HUMAN
E9Q6A9,Ctnnb1,0.94,3,0.3424,Catenin beta-1 OS=Mus musculus GN=Ctnnb1 PE=1 SV=1,HEART,PROT,HUMAN
D3Z568,Ndufb5 mCG_5158,0.94,11,0.51,"NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 5, isoform CRA_e OS=Mus musculus GN=Ndufb5 PE=1 SV=1",HEART,PROT,HUMAN
Q8BWM0,Ptges2 Gbf1 Pges2,0.94,6,0.5476,Prostaglandin E synthase 2 OS=Mus musculus GN=Ptges2 PE=1 SV=3,HEART,PROT,HUMAN
Q9D3D9,Atp5f1d Atp5d,0.939,11,0.00116,"ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1",HEART,PROT,HUMAN
O54724,Cavin1 Ptrf,0.939,24,0.01704,Caveolae-associated protein 1 OS=Mus musculus GN=Cavin1 PE=1 SV=1,HEART,PROT,HUMAN
Q80X68,Csl mCG_19869,0.939,20,0.05621,Citrate synthase OS=Mus musculus GN=Csl PE=1 SV=1,HEART,PROT,HUMAN
Q8R550,Sh3kbp1 Ruk Seta,0.939,3,0.2166,SH3 domain-containing kinase-binding protein 1 OS=Mus musculus GN=Sh3kbp1 PE=1 SV=1,HEART,PROT,HUMAN
A0A0J9YUB6,Ociad1,0.939,4,0.4841,OCIA domain-containing protein 1 (Fragment) OS=Mus musculus GN=Ociad1 PE=1 SV=1,HEART,PROT,HUMAN
F7BX26,Ppp5c,0.939,6,0.4907,Serine/threonine-protein phosphatase (Fragment) OS=Mus musculus GN=Ppp5c PE=1 SV=1,HEART,PROT,HUMAN
P10833,Rras,0.938,5,0.2344,Ras-related protein R-Ras OS=Mus musculus GN=Rras PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J0J0,Palmd,0.938,8,0.3612,Palmdelphin OS=Mus musculus GN=Palmd PE=1 SV=1,HEART,PROT,HUMAN
Q3UHX2,Pdap1,0.938,3,0.4745,28 kDa heat- and acid-stable phosphoprotein OS=Mus musculus GN=Pdap1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BH64,Ehd2,0.937,37,0.01644,EH domain-containing protein 2 OS=Mus musculus GN=Ehd2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D1G1,Rab1b,0.937,18,0.03596,Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1,HEART,PROT,HUMAN
Q9CWJ9,Atic Purh,0.937,11,0.2311,Bifunctional purine biosynthesis protein PURH OS=Mus musculus GN=Atic PE=1 SV=2,HEART,PROT,HUMAN
Q07076,Anxa7 Anx7,0.937,7,0.2889,Annexin A7 OS=Mus musculus GN=Anxa7 PE=1 SV=2,HEART,PROT,HUMAN
Q811U4,Mfn1,0.937,7,0.3582,Mitofusin-1 OS=Mus musculus GN=Mfn1 PE=1 SV=3,HEART,PROT,HUMAN
Q8R127,Sccpdh,0.937,4,0.4014,Saccharopine dehydrogenase-like oxidoreductase OS=Mus musculus GN=Sccpdh PE=1 SV=1,HEART,PROT,HUMAN
P53986,Slc16a1 Mct1,0.937,10,0.4497,Monocarboxylate transporter 1 OS=Mus musculus GN=Slc16a1 PE=1 SV=1,HEART,PROT,HUMAN
Q9JIQ3,Diablo Smac,0.937,3,0.6321,"Diablo homolog, mitochondrial OS=Mus musculus GN=Diablo PE=1 SV=2",HEART,PROT,HUMAN
A2A7S7,Yars mCG_141662,0.937,5,0.645,Tyrosine--tRNA ligase OS=Mus musculus GN=Yars PE=1 SV=1,HEART,PROT,HUMAN
Q61001,Lama5,0.936,9,0.01783,Laminin subunit alpha-5 OS=Mus musculus GN=Lama5 PE=1 SV=4,HEART,PROT,HUMAN
G3X9L6,,0.936,57,0.05148,"ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Gm10250 PE=3 SV=1",HEART,PROT,HUMAN
E9PV44,Atpif1,0.936,4,0.2767,"ATPase inhibitor, mitochondrial OS=Mus musculus GN=Atpif1 PE=1 SV=1",HEART,PROT,HUMAN
Q60692,Psmb6 Lmp19,0.936,3,0.3854,Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3,HEART,PROT,HUMAN
Q3U4W8,Usp5,0.935,13,0.1027,Ubiquitinyl hydrolase 1 OS=Mus musculus GN=Usp5 PE=1 SV=1,HEART,PROT,HUMAN
P35564,Canx,0.935,22,0.1303,Calnexin OS=Mus musculus GN=Canx PE=1 SV=1,HEART,PROT,HUMAN
E9QP49,Ehbp1l1,0.935,15,0.2867,EH domain-binding protein 1-like protein 1 OS=Mus musculus GN=Ehbp1l1 PE=1 SV=1,HEART,PROT,HUMAN
Q8CDN6,Txnl1 Trp32 Txnl,0.935,9,0.3567,Thioredoxin-like protein 1 OS=Mus musculus GN=Txnl1 PE=1 SV=3,HEART,PROT,HUMAN
D3YW66,Coq6 COQ6,0.935,4,0.5027,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Mus musculus GN=Coq6 PE=1 SV=1",HEART,PROT,HUMAN
P67778,Phb,0.934,29,0.02892,Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1,HEART,PROT,HUMAN
P50396,Gdi1 Rabgdia,0.934,12,0.337,Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3,HEART,PROT,HUMAN
E9QAT9,Trim54,0.934,3,0.4706,Tripartite motif-containing protein 54 OS=Mus musculus GN=Trim54 PE=1 SV=1,HEART,PROT,HUMAN
P23953,Ces1c Es1,0.933,6,0.09147,Carboxylesterase 1C OS=Mus musculus GN=Ces1c PE=1 SV=4,HEART,PROT,HUMAN
Q64521,Gpd2 Gdm1,0.933,4,0.1174,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus GN=Gpd2 PE=1 SV=2",HEART,PROT,HUMAN
Q5DTJ9,Mypn Kiaa4170,0.933,11,0.1669,Myopalladin OS=Mus musculus GN=Mypn PE=1 SV=2,HEART,PROT,HUMAN
P97450,Atp5pf Atp5j,0.933,18,0.328,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1",HEART,PROT,HUMAN
A0A087WRE7,Adhfe1,0.932,14,0.08152,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment) OS=Mus musculus GN=Adhfe1 PE=1 SV=1",HEART,PROT,HUMAN
P14142,Slc2a4 Glut-4 Glut4,0.932,5,0.1949,"Solute carrier family 2, facilitated glucose transporter member 4 OS=Mus musculus GN=Slc2a4 PE=1 SV=3",HEART,PROT,HUMAN
P61027,Rab10,0.932,6,0.2161,Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1,HEART,PROT,HUMAN
Q9R1P0,Psma4,0.932,3,0.4138,Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1,HEART,PROT,HUMAN
Q91V64,Isoc1,0.932,3,0.4574,Isochorismatase domain-containing protein 1 OS=Mus musculus GN=Isoc1 PE=1 SV=1,HEART,PROT,HUMAN
P14685,Psmd3 P91a Tstap91a,0.931,17,0.1687,26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus GN=Psmd3 PE=1 SV=3,HEART,PROT,HUMAN
Q9ERS2,Ndufa13 Grim19,0.931,22,0.194,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Mus musculus GN=Ndufa13 PE=1 SV=3,HEART,PROT,HUMAN
Q9CU62,Smc1a Sb1.8 Smc1 Smc1l1 Smcb,0.931,4,0.6147,Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4,HEART,PROT,HUMAN
Q8CIB5,Fermt2 Plekhc1,0.93,14,0.09363,Fermitin family homolog 2 OS=Mus musculus GN=Fermt2 PE=1 SV=1,HEART,PROT,HUMAN
Q8R0W0,Eppk1 EPPK,0.93,5,0.1016,Epiplakin OS=Mus musculus GN=Eppk1 PE=1 SV=2,HEART,PROT,HUMAN
F6ZHD8,Gbe1,0.93,3,0.1146,"1,4-alpha-glucan-branching enzyme OS=Mus musculus GN=Gbe1 PE=1 SV=2",HEART,PROT,HUMAN
Q922B1,Macrod1 Lrp16,0.929,3,0.5216,O-acetyl-ADP-ribose deacetylase MACROD1 OS=Mus musculus GN=Macrod1 PE=1 SV=2,HEART,PROT,HUMAN
Q9D1Q6,Erp44 Kiaa0573 Txndc4,0.929,3,0.5412,Endoplasmic reticulum resident protein 44 OS=Mus musculus GN=Erp44 PE=1 SV=1,HEART,PROT,HUMAN
P51885,Lum Lcn Ldc,0.928,11,0.01395,Lumican OS=Mus musculus GN=Lum PE=1 SV=2,HEART,PROT,HUMAN
E9PUE8,Abcc9,0.928,3,0.1129,ATP-binding cassette sub-family C member 9 OS=Mus musculus GN=Abcc9 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J0K2,Ckap5,0.928,3,0.1922,Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=1 SV=1,HEART,PROT,HUMAN
Q3UFY8,Trmt10c Mrpp1 Rg9mtd1,0.928,3,0.2369,Mitochondrial ribonuclease P protein 1 OS=Mus musculus GN=Trmt10c PE=1 SV=2,HEART,PROT,HUMAN
Q9D0S9,Hint2,0.928,10,0.243,"Histidine triad nucleotide-binding protein 2, mitochondrial OS=Mus musculus GN=Hint2 PE=1 SV=1",HEART,PROT,HUMAN
H3BJL6,Esd,0.928,4,0.2512,S-formylglutathione hydrolase OS=Mus musculus GN=Esd PE=1 SV=1,HEART,PROT,HUMAN
Q8BH58,Tiprl,0.928,3,0.2614,TIP41-like protein OS=Mus musculus GN=Tiprl PE=1 SV=1,HEART,PROT,HUMAN
Q8CGB6,Tns2 Tenc1,0.928,3,0.3156,Tensin-2 OS=Mus musculus GN=Tns2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0A0MQA5,Tuba4a,0.927,36,0.01831,Tubulin alpha chain (Fragment) OS=Mus musculus GN=Tuba4a PE=1 SV=1,HEART,PROT,HUMAN
Q9CQN7,Mrpl41,0.927,4,0.2195,"39S ribosomal protein L41, mitochondrial OS=Mus musculus GN=Mrpl41 PE=1 SV=1",HEART,PROT,HUMAN
F8WIV2,Serpinb6a,0.925,13,0.02996,"Serine (or cysteine) peptidase inhibitor, clade B, member 6a OS=Mus musculus GN=Serpinb6a PE=1 SV=1",HEART,PROT,HUMAN
P49722,Psma2 Lmpc3,0.925,6,0.1754,Proteasome subunit alpha type-2 OS=Mus musculus GN=Psma2 PE=1 SV=3,HEART,PROT,HUMAN
F7CSZ6,Agl,0.925,3,0.2722,"Amylo-1,6-glucosidase, 4-alpha-glucanotransferase (Fragment) OS=Mus musculus GN=Agl PE=1 SV=1",HEART,PROT,HUMAN
O70435,Psma3,0.925,6,0.3672,Proteasome subunit alpha type-3 OS=Mus musculus GN=Psma3 PE=1 SV=3,HEART,PROT,HUMAN
Q05DV1,Por,0.925,3,0.491,NADPH--cytochrome P450 reductase OS=Mus musculus GN=Por PE=1 SV=1,HEART,PROT,HUMAN
Q8VDT9,Mrpl50,0.924,5,0.215,"39S ribosomal protein L50, mitochondrial OS=Mus musculus GN=Mrpl50 PE=1 SV=2",HEART,PROT,HUMAN
P47811,Mapk14 Crk1 Csbp1 Csbp2,0.924,3,0.2551,Mitogen-activated protein kinase 14 OS=Mus musculus GN=Mapk14 PE=1 SV=3,HEART,PROT,HUMAN
A0A0R4J0Q5,Lmnb2,0.923,16,0.08549,Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0N4SW28,Gng12,0.923,4,0.1663,Guanine nucleotide-binding protein subunit gamma OS=Mus musculus GN=Gng12 PE=1 SV=1,HEART,PROT,HUMAN
O08917,Flot1,0.922,9,0.0005409,Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1,HEART,PROT,HUMAN
Q8CHP8,Pgp,0.922,5,0.1009,Glycerol-3-phosphate phosphatase OS=Mus musculus GN=Pgp PE=1 SV=1,HEART,PROT,HUMAN
Q91VK1,Bzw2,0.922,5,0.1429,Basic leucine zipper and W2 domain-containing protein 2 OS=Mus musculus GN=Bzw2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQ54,Ndufc2,0.922,13,0.3992,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Mus musculus GN=Ndufc2 PE=1 SV=1,HEART,PROT,HUMAN
Q14C51,Ptcd3 Mrps39,0.922,3,0.4001,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Mus musculus GN=Ptcd3 PE=1 SV=2",HEART,PROT,HUMAN
Q9QWW1,Homer2 Vesl2,0.922,3,0.4282,Homer protein homolog 2 OS=Mus musculus GN=Homer2 PE=1 SV=1,HEART,PROT,HUMAN
Q64514,Tpp2,0.921,3,0.08509,Tripeptidyl-peptidase 2 OS=Mus musculus GN=Tpp2 PE=1 SV=3,HEART,PROT,HUMAN
A2AKD7,Snta1,0.921,5,0.2987,Alpha-1-syntrophin OS=Mus musculus GN=Snta1 PE=1 SV=1,HEART,PROT,HUMAN
Q9D820,Prorsd1 Prdxdd1,0.921,3,0.3463,Prolyl-tRNA synthetase associated domain-containing protein 1 OS=Mus musculus GN=Prorsd1 PE=1 SV=1,HEART,PROT,HUMAN
P52196,Tst,0.921,3,0.3864,Thiosulfate sulfurtransferase OS=Mus musculus GN=Tst PE=1 SV=3,HEART,PROT,HUMAN
Q99KQ4,Nampt Pbef1,0.92,18,0.0008858,Nicotinamide phosphoribosyltransferase OS=Mus musculus GN=Nampt PE=1 SV=1,HEART,PROT,HUMAN
Q8VCT4,Ces1d Ces1 Ces3,0.92,8,0.02467,Carboxylesterase 1D OS=Mus musculus GN=Ces1d PE=1 SV=1,HEART,PROT,HUMAN
P14152,Mdh1 Mor2,0.92,52,0.04408,"Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3",HEART,PROT,HUMAN
P47791,Gsr Gr1,0.92,3,0.1861,"Glutathione reductase, mitochondrial OS=Mus musculus GN=Gsr PE=1 SV=3",HEART,PROT,HUMAN
Q9WTX6,Cul1,0.92,3,0.4516,Cullin-1 OS=Mus musculus GN=Cul1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CWD8,Nubpl,0.92,3,0.5623,Iron-sulfur protein NUBPL OS=Mus musculus GN=Nubpl PE=1 SV=2,HEART,PROT,HUMAN
C7IVS7,Cacnb2 CacnB2,0.919,3,0.02402,Calcium channel voltage-dependent beta 2 subunit OS=Mus musculus GN=Cacnb2 PE=1 SV=1,HEART,PROT,HUMAN
E9Q0U7,Hsph1,0.919,7,0.2386,Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 PE=1 SV=1,HEART,PROT,HUMAN
Q99N96,Mrpl1,0.919,5,0.421,"39S ribosomal protein L1, mitochondrial OS=Mus musculus GN=Mrpl1 PE=1 SV=2",HEART,PROT,HUMAN
A3KFU5,Pabpc4,0.918,14,0.05102,Polyadenylate-binding protein OS=Mus musculus GN=Pabpc4 PE=1 SV=1,HEART,PROT,HUMAN
Q64737,Gart,0.918,5,0.5112,Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=1 SV=3,HEART,PROT,HUMAN
P08032,Spta1 Spna1 Spta,0.917,27,0.003182,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus GN=Spta1 PE=1 SV=3",HEART,PROT,HUMAN
